Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гнезда электрические», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;27;0,0000127;
август 2023;29;0,0000136;
сентябрь 2023;14;0,0000058;
октябрь 2023;25;0,0000093;
ноябрь 2023;30;0,0000114;
декабрь 2023;29;0,0000108;
январь 2024;8;0,0000030;
февраль 2024;21;0,0000085;
март 2024;20;0,0000078;
апрель 2024;35;0,0000147;
май 2024;25;0,0000106;
июнь 2024;18;0,0000092;
июль 2024;39;0,0000199;
август 2024;24;0,0000122;
сентябрь 2024;22;0,0000102;
октябрь 2024;29;0,0000116;
ноябрь 2024;29;0,0000112;
декабрь 2024;31;0,0000115;
январь 2025;33;0,0000122;
февраль 2025;24;0,0000092;
март 2025;48;0,0000178;
апрель 2025;40;0,0000154;
май 2025;31;0,0000129;
июнь 2025;15;0,0000064;
