Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мыльницы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 251;0,00059;
август 2023;1 236;0,00058;
сентябрь 2023;1 344;0,00056;
октябрь 2023;1 443;0,00053;
ноябрь 2023;1 594;0,00060;
декабрь 2023;1 725;0,00064;
январь 2024;1 757;0,00067;
февраль 2024;1 381;0,00056;
март 2024;1 574;0,00061;
апрель 2024;1 472;0,00061;
май 2024;1 526;0,00065;
июнь 2024;1 418;0,00072;
июль 2024;1 681;0,00086;
август 2024;1 461;0,00074;
сентябрь 2024;1 402;0,00065;
октябрь 2024;2 032;0,00081;
ноябрь 2024;2 200;0,00085;
декабрь 2024;2 019;0,00075;
январь 2025;2 766;0,00102;
февраль 2025;2 243;0,00086;
март 2025;2 526;0,00094;
апрель 2025;2 644;0,00102;
май 2025;3 214;0,00134;
июнь 2025;2 831;0,00121;
