Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шпильки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;12 261;0,0058;
август 2023;12 376;0,0058;
сентябрь 2023;12 312;0,0051;
октябрь 2023;14 652;0,0054;
ноябрь 2023;14 000;0,0053;
декабрь 2023;11 865;0,0044;
январь 2024;11 386;0,0043;
февраль 2024;13 068;0,0053;
март 2024;13 899;0,0054;
апрель 2024;15 760;0,0066;
май 2024;14 562;0,0062;
июнь 2024;12 933;0,0066;
июль 2024;13 759;0,0070;
август 2024;13 222;0,0067;
сентябрь 2024;13 252;0,0061;
октябрь 2024;15 564;0,0062;
ноябрь 2024;16 761;0,0064;
декабрь 2024;15 483;0,0057;
январь 2025;13 961;0,0051;
февраль 2025;14 509;0,0056;
март 2025;17 634;0,0065;
апрель 2025;17 361;0,0067;
май 2025;15 443;0,0064;
июнь 2025;16 177;0,0069;
