Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Автоматические выключатели», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6 095;0,0028;
август 2023;5 708;0,0026;
сентябрь 2023;5 941;0,0024;
октябрь 2023;6 737;0,0025;
ноябрь 2023;6 695;0,0025;
декабрь 2023;5 666;0,0021;
январь 2024;5 547;0,0021;
февраль 2024;6 695;0,0027;
март 2024;6 766;0,0026;
апрель 2024;6 702;0,0028;
май 2024;7 140;0,0030;
июнь 2024;7 060;0,0036;
июль 2024;6 607;0,0033;
август 2024;6 023;0,0030;
сентябрь 2024;6 753;0,0031;
октябрь 2024;7 635;0,0030;
ноябрь 2024;8 708;0,0033;
декабрь 2024;8 150;0,0030;
январь 2025;7 130;0,0026;
февраль 2025;8 912;0,0034;
март 2025;8 854;0,0032;
апрель 2025;8 435;0,0032;
май 2025;6 934;0,0029;
июнь 2025;8 556;0,0036;
