Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;86 495;0,041;
август 2023;87 982;0,041;
сентябрь 2023;97 558;0,040;
октябрь 2023;100 064;0,037;
ноябрь 2023;96 433;0,036;
декабрь 2023;88 497;0,033;
январь 2024;83 062;0,031;
февраль 2024;82 442;0,033;
март 2024;90 448;0,035;
апрель 2024;88 752;0,037;
май 2024;94 247;0,040;
июнь 2024;75 850;0,038;
июль 2024;82 918;0,042;
август 2024;83 982;0,042;
сентябрь 2024;91 180;0,042;
октябрь 2024;96 926;0,039;
ноябрь 2024;97 221;0,037;
декабрь 2024;94 248;0,035;
январь 2025;93 006;0,034;
февраль 2025;98 049;0,037;
март 2025;103 637;0,038;
апрель 2025;101 290;0,039;
май 2025;93 766;0,039;
июнь 2025;92 715;0,039;
