Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Уголок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;33 183;0,015;
август 2023;40 313;0,018;
сентябрь 2023;49 517;0,020;
октябрь 2023;46 205;0,017;
ноябрь 2023;44 473;0,016;
декабрь 2023;38 792;0,014;
январь 2024;38 097;0,014;
февраль 2024;37 364;0,015;
март 2024;37 996;0,014;
апрель 2024;37 965;0,015;
май 2024;38 278;0,016;
июнь 2024;31 135;0,015;
июль 2024;34 230;0,017;
август 2024;37 588;0,019;
сентябрь 2024;44 985;0,020;
октябрь 2024;42 179;0,016;
ноябрь 2024;44 685;0,017;
декабрь 2024;38 780;0,014;
январь 2025;42 303;0,015;
февраль 2025;42 522;0,016;
март 2025;42 028;0,015;
апрель 2025;41 159;0,015;
май 2025;38 224;0,016;
июнь 2025;34 711;0,014;
