Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Разъемы силовые», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;135;0,000063;
август 2023;107;0,000050;
сентябрь 2023;106;0,000044;
октябрь 2023;140;0,000052;
ноябрь 2023;110;0,000041;
декабрь 2023;160;0,000059;
январь 2024;131;0,000050;
февраль 2024;163;0,000066;
март 2024;176;0,000068;
апрель 2024;151;0,000063;
май 2024;154;0,000065;
июнь 2024;158;0,000080;
июль 2024;141;0,000072;
август 2024;117;0,000059;
сентябрь 2024;114;0,000052;
октябрь 2024;172;0,000069;
ноябрь 2024;170;0,000065;
декабрь 2024;167;0,000062;
январь 2025;134;0,000049;
февраль 2025;185;0,000071;
март 2025;166;0,000061;
апрель 2025;198;0,000076;
май 2025;104;0,000043;
июнь 2025;187;0,000080;
