Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Станции водоснабжения», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;261;0,000123;
август 2023;199;0,000093;
сентябрь 2023;195;0,000081;
октябрь 2023;230;0,000085;
ноябрь 2023;193;0,000073;
декабрь 2023;246;0,000091;
январь 2024;202;0,000077;
февраль 2024;149;0,000060;
март 2024;226;0,000088;
апрель 2024;250;0,000105;
май 2024;386;0,000164;
июнь 2024;460;0,000235;
июль 2024;278;0,000142;
август 2024;165;0,000084;
сентябрь 2024;206;0,000095;
октябрь 2024;276;0,000111;
ноябрь 2024;189;0,000073;
декабрь 2024;190;0,000070;
январь 2025;181;0,000067;
февраль 2025;183;0,000070;
март 2025;243;0,000090;
апрель 2025;352;0,000135;
май 2025;424;0,000177;
июнь 2025;281;0,000120;
