Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Смесители для душа», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 977;0,00093;
август 2023;2 075;0,00097;
сентябрь 2023;2 070;0,00086;
октябрь 2023;2 247;0,00083;
ноябрь 2023;2 191;0,00083;
декабрь 2023;1 923;0,00071;
январь 2024;2 122;0,00081;
февраль 2024;1 976;0,00080;
март 2024;1 980;0,00077;
апрель 2024;1 684;0,00070;
май 2024;1 731;0,00073;
июнь 2024;1 633;0,00083;
июль 2024;1 763;0,00090;
август 2024;1 827;0,00093;
сентябрь 2024;1 487;0,00069;
октябрь 2024;1 804;0,00072;
ноябрь 2024;2 146;0,00083;
декабрь 2024;1 917;0,00071;
январь 2025;2 089;0,00077;
февраль 2025;2 214;0,00085;
март 2025;1 949;0,00072;
апрель 2025;1 958;0,00075;
май 2025;1 734;0,00072;
июнь 2025;1 749;0,00075;
