Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиты ДСП», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;121;0,000057;
август 2023;105;0,000049;
сентябрь 2023;76;0,000031;
октябрь 2023;139;0,000051;
ноябрь 2023;117;0,000044;
декабрь 2023;98;0,000036;
январь 2024;97;0,000037;
февраль 2024;91;0,000037;
март 2024;93;0,000036;
апрель 2024;113;0,000047;
май 2024;154;0,000065;
июнь 2024;104;0,000053;
июль 2024;120;0,000061;
август 2024;96;0,000049;
сентябрь 2024;90;0,000041;
октябрь 2024;105;0,000042;
ноябрь 2024;148;0,000057;
декабрь 2024;135;0,000050;
январь 2025;115;0,000042;
февраль 2025;170;0,000065;
март 2025;131;0,000048;
апрель 2025;187;0,000072;
май 2025;189;0,000079;
июнь 2025;154;0,000066;
