Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Круг металлический», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;97;0,000045;
август 2023;86;0,000040;
сентябрь 2023;107;0,000044;
октябрь 2023;79;0,000029;
ноябрь 2023;97;0,000036;
декабрь 2023;71;0,000026;
январь 2024;71;0,000027;
февраль 2024;92;0,000037;
март 2024;94;0,000036;
апрель 2024;117;0,000049;
май 2024;108;0,000046;
июнь 2024;92;0,000047;
июль 2024;87;0,000044;
август 2024;82;0,000041;
сентябрь 2024;82;0,000038;
октябрь 2024;116;0,000046;
ноябрь 2024;106;0,000041;
декабрь 2024;90;0,000033;
январь 2025;136;0,000050;
февраль 2025;91;0,000035;
март 2025;129;0,000048;
апрель 2025;103;0,000039;
май 2025;108;0,000045;
июнь 2025;121;0,000051;
