Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти для снегоуборщиков», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13;0,0000061;
август 2023;45;0,0000211;
сентябрь 2023;26;0,0000108;
октябрь 2023;44;0,0000164;
ноябрь 2023;258;0,0000981;
декабрь 2023;415;0,0001548;
январь 2024;1 233;0,0004715;
февраль 2024;786;0,0003209;
март 2024;115;0,0000450;
апрель 2024;28;0,0000117;
май 2024;25;0,0000106;
июнь 2024;32;0,0000163;
июль 2024;35;0,0000179;
август 2024;55;0,0000281;
сентябрь 2024;71;0,0000329;
октябрь 2024;138;0,0000555;
ноябрь 2024;129;0,0000500;
декабрь 2024;470;0,0001753;
январь 2025;242;0,0000898;
февраль 2025;62;0,0000239;
март 2025;48;0,0000178;
апрель 2025;8;0,0000030;
май 2025;9;0,0000037;
июнь 2025;4;0,0000017;
