Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Отвесы, разметка», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;428;0,00020;
август 2023;426;0,00020;
сентябрь 2023;459;0,00019;
октябрь 2023;450;0,00016;
ноябрь 2023;485;0,00018;
декабрь 2023;353;0,00013;
январь 2024;338;0,00012;
февраль 2024;284;0,00011;
март 2024;453;0,00017;
апрель 2024;374;0,00015;
май 2024;370;0,00015;
июнь 2024;415;0,00021;
июль 2024;419;0,00021;
август 2024;362;0,00018;
сентябрь 2024;631;0,00029;
октябрь 2024;646;0,00026;
ноябрь 2024;455;0,00017;
декабрь 2024;436;0,00016;
январь 2025;434;0,00016;
февраль 2025;376;0,00014;
март 2025;669;0,00024;
апрель 2025;786;0,00030;
май 2025;492;0,00020;
июнь 2025;633;0,00027;
