Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пирометры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;793;0,00037;
август 2023;891;0,00041;
сентябрь 2023;935;0,00039;
октябрь 2023;1 274;0,00047;
ноябрь 2023;1 325;0,00050;
декабрь 2023;1 593;0,00059;
январь 2024;1 381;0,00052;
февраль 2024;1 347;0,00055;
март 2024;1 002;0,00039;
апрель 2024;911;0,00038;
май 2024;986;0,00042;
июнь 2024;873;0,00044;
июль 2024;763;0,00039;
август 2024;646;0,00033;
сентябрь 2024;751;0,00034;
октябрь 2024;1 215;0,00048;
ноябрь 2024;1 463;0,00056;
декабрь 2024;1 544;0,00057;
январь 2025;1 229;0,00045;
февраль 2025;1 341;0,00051;
март 2025;1 308;0,00048;
апрель 2025;988;0,00038;
май 2025;843;0,00035;
июнь 2025;987;0,00042;
