Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Станки, отрезные пилы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;57 589;0,027;
август 2023;57 853;0,027;
сентябрь 2023;67 002;0,027;
октябрь 2023;83 112;0,031;
ноябрь 2023;80 675;0,030;
декабрь 2023;75 717;0,028;
январь 2024;72 011;0,027;
февраль 2024;75 977;0,031;
март 2024;81 434;0,031;
апрель 2024;70 003;0,029;
май 2024;66 904;0,028;
июнь 2024;56 597;0,028;
июль 2024;54 629;0,028;
август 2024;54 163;0,027;
сентябрь 2024;63 828;0,029;
октябрь 2024;79 359;0,031;
ноябрь 2024;83 633;0,032;
декабрь 2024;86 581;0,032;
январь 2025;84 426;0,031;
февраль 2025;88 705;0,034;
март 2025;87 613;0,032;
апрель 2025;78 392;0,030;
май 2025;66 533;0,027;
июнь 2025;69 527;0,029;
