Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запорно», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 892;0,0018;
август 2023;4 151;0,0019;
сентябрь 2023;3 875;0,0016;
октябрь 2023;4 917;0,0018;
ноябрь 2023;4 358;0,0016;
декабрь 2023;4 015;0,0014;
январь 2024;3 773;0,0014;
февраль 2024;4 008;0,0016;
март 2024;4 331;0,0016;
апрель 2024;4 581;0,0019;
май 2024;4 689;0,0020;
июнь 2024;4 320;0,0022;
июль 2024;4 339;0,0022;
август 2024;3 965;0,0020;
сентябрь 2024;4 560;0,0021;
октябрь 2024;5 338;0,0021;
ноябрь 2024;5 226;0,0020;
декабрь 2024;5 055;0,0018;
январь 2025;4 614;0,0017;
февраль 2025;5 865;0,0022;
март 2025;5 567;0,0020;
апрель 2025;5 396;0,0020;
май 2025;4 718;0,0019;
июнь 2025;5 117;0,0021;
