Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Раковины», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;35 217;0,016;
август 2023;37 068;0,017;
сентябрь 2023;37 769;0,015;
октябрь 2023;47 315;0,017;
ноябрь 2023;43 838;0,016;
декабрь 2023;38 646;0,014;
январь 2024;43 527;0,016;
февраль 2024;37 520;0,015;
март 2024;40 197;0,015;
апрель 2024;36 244;0,015;
май 2024;35 519;0,015;
июнь 2024;30 635;0,015;
июль 2024;34 214;0,017;
август 2024;34 278;0,017;
сентябрь 2024;32 654;0,015;
октябрь 2024;39 205;0,015;
ноябрь 2024;42 561;0,016;
декабрь 2024;41 018;0,015;
январь 2025;46 901;0,017;
февраль 2025;40 163;0,015;
март 2025;41 377;0,015;
апрель 2025;36 949;0,014;
май 2025;35 649;0,014;
июнь 2025;36 614;0,015;
