Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Система джокерная», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;104;0,000049;
август 2023;119;0,000055;
сентябрь 2023;96;0,000040;
октябрь 2023;141;0,000052;
ноябрь 2023;109;0,000041;
декабрь 2023;79;0,000029;
январь 2024;117;0,000044;
февраль 2024;110;0,000044;
март 2024;145;0,000056;
апрель 2024;92;0,000038;
май 2024;111;0,000047;
июнь 2024;118;0,000060;
июль 2024;87;0,000044;
август 2024;104;0,000053;
сентябрь 2024;75;0,000034;
октябрь 2024;78;0,000031;
ноябрь 2024;111;0,000043;
декабрь 2024;79;0,000029;
январь 2025;125;0,000046;
февраль 2025;89;0,000034;
март 2025;87;0,000032;
апрель 2025;111;0,000042;
май 2025;76;0,000031;
июнь 2025;97;0,000041;
