Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Песок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;54 698;0,025;
август 2023;48 365;0,022;
сентябрь 2023;47 070;0,019;
октябрь 2023;45 263;0,016;
ноябрь 2023;42 050;0,015;
декабрь 2023;41 346;0,015;
январь 2024;39 987;0,015;
февраль 2024;41 703;0,017;
март 2024;43 718;0,017;
апрель 2024;49 061;0,020;
май 2024;55 426;0,023;
июнь 2024;49 589;0,025;
июль 2024;50 654;0,025;
август 2024;43 001;0,021;
сентябрь 2024;45 019;0,020;
октябрь 2024;48 244;0,019;
ноябрь 2024;46 048;0,017;
декабрь 2024;45 408;0,016;
январь 2025;41 672;0,015;
февраль 2025;44 274;0,017;
март 2025;47 756;0,017;
апрель 2025;59 934;0,023;
май 2025;59 419;0,024;
июнь 2025;56 699;0,024;
