Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Металлические профили», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 597;0,00075;
август 2023;1 557;0,00073;
сентябрь 2023;1 534;0,00064;
октябрь 2023;1 388;0,00051;
ноябрь 2023;1 269;0,00048;
декабрь 2023;906;0,00033;
январь 2024;993;0,00037;
февраль 2024;1 178;0,00048;
март 2024;1 566;0,00061;
апрель 2024;1 776;0,00074;
май 2024;1 868;0,00079;
июнь 2024;1 486;0,00076;
июль 2024;1 685;0,00086;
август 2024;1 520;0,00077;
сентябрь 2024;1 523;0,00070;
октябрь 2024;1 546;0,00062;
ноябрь 2024;1 387;0,00053;
декабрь 2024;1 358;0,00050;
январь 2025;1 286;0,00047;
февраль 2025;1 659;0,00064;
март 2025;1 767;0,00065;
апрель 2025;2 188;0,00084;
май 2025;1 981;0,00082;
июнь 2025;1 896;0,00081;
