Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические кусторезы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;222;0,0001052;
август 2023;195;0,0000916;
сентябрь 2023;166;0,0000692;
октябрь 2023;119;0,0000444;
ноябрь 2023;73;0,0000277;
декабрь 2023;41;0,0000153;
январь 2024;33;0,0000126;
февраль 2024;57;0,0000232;
март 2024;54;0,0000211;
апрель 2024;126;0,0000530;
май 2024;97;0,0000414;
июнь 2024;199;0,0001019;
июль 2024;205;0,0001051;
август 2024;119;0,0000608;
сентябрь 2024;100;0,0000464;
октябрь 2024;97;0,0000390;
ноябрь 2024;21;0,0000081;
декабрь 2024;22;0,0000082;
январь 2025;49;0,0000181;
февраль 2025;22;0,0000085;
март 2025;43;0,0000160;
апрель 2025;68;0,0000262;
май 2025;144;0,0000603;
июнь 2025;214;0,0000918;
