Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стопоры дверные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;60;0,000028;
август 2023;74;0,000034;
сентябрь 2023;77;0,000032;
октябрь 2023;55;0,000020;
ноябрь 2023;92;0,000034;
декабрь 2023;66;0,000024;
январь 2024;50;0,000019;
февраль 2024;78;0,000031;
март 2024;64;0,000025;
апрель 2024;56;0,000023;
май 2024;85;0,000036;
июнь 2024;70;0,000035;
июль 2024;91;0,000046;
август 2024;45;0,000022;
сентябрь 2024;61;0,000028;
октябрь 2024;93;0,000037;
ноябрь 2024;78;0,000030;
декабрь 2024;71;0,000026;
январь 2025;58;0,000021;
февраль 2025;75;0,000028;
март 2025;107;0,000039;
апрель 2025;109;0,000042;
май 2025;68;0,000028;
июнь 2025;57;0,000024;
