Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Маркировка кабелей», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;532;0,00025;
август 2023;481;0,00022;
сентябрь 2023;520;0,00021;
октябрь 2023;614;0,00022;
ноябрь 2023;585;0,00022;
декабрь 2023;521;0,00019;
январь 2024;486;0,00018;
февраль 2024;526;0,00021;
март 2024;549;0,00021;
апрель 2024;536;0,00022;
май 2024;560;0,00023;
июнь 2024;485;0,00024;
июль 2024;614;0,00031;
август 2024;505;0,00025;
сентябрь 2024;563;0,00026;
октябрь 2024;712;0,00028;
ноябрь 2024;598;0,00023;
декабрь 2024;710;0,00026;
январь 2025;641;0,00023;
февраль 2025;700;0,00027;
март 2025;698;0,00026;
апрель 2025;640;0,00024;
май 2025;603;0,00025;
июнь 2025;660;0,00028;
