Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Инструмент резьбонарезной», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;21;0,0000099;
август 2023;28;0,0000131;
сентябрь 2023;40;0,0000166;
октябрь 2023;27;0,0000100;
ноябрь 2023;23;0,0000087;
декабрь 2023;32;0,0000119;
январь 2024;9;0,0000034;
февраль 2024;33;0,0000134;
март 2024;53;0,0000207;
апрель 2024;25;0,0000105;
май 2024;34;0,0000145;
июнь 2024;24;0,0000122;
июль 2024;11;0,0000056;
август 2024;42;0,0000214;
сентябрь 2024;32;0,0000148;
октябрь 2024;28;0,0000112;
ноябрь 2024;19;0,0000073;
декабрь 2024;27;0,0000100;
январь 2025;17;0,0000063;
февраль 2025;15;0,0000057;
март 2025;44;0,0000163;
апрель 2025;35;0,0000135;
май 2025;31;0,0000129;
июнь 2025;46;0,0000197;
