Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти на триммеры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;229;0,00010855;
август 2023;178;0,00008368;
сентябрь 2023;62;0,00002588;
октябрь 2023;38;0,00001420;
ноябрь 2023;25;0,00000950;
декабрь 2023;20;0,00000746;
январь 2024;2;0,00000076;
февраль 2024;22;0,00000898;
март 2024;11;0,00000431;
апрель 2024;42;0,00001767;
май 2024;156;0,00006660;
июнь 2024;337;0,00017262;
июль 2024;251;0,00012871;
август 2024;212;0,00010834;
сентябрь 2024;142;0,00006593;
октябрь 2024;59;0,00002376;
ноябрь 2024;31;0,00001201;
декабрь 2024;29;0,00001082;
январь 2025;28;0,00001039;
февраль 2025;10;0,00000386;
март 2025;30;0,00001117;
апрель 2025;50;0,00001930;
май 2025;333;0,00013951;
июнь 2025;452;0,00019392;
