Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Модульные кухни», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;705;0,00033;
август 2023;717;0,00033;
сентябрь 2023;650;0,00027;
октябрь 2023;869;0,00032;
ноябрь 2023;854;0,00032;
декабрь 2023;735;0,00027;
январь 2024;735;0,00028;
февраль 2024;681;0,00027;
март 2024;776;0,00030;
апрель 2024;633;0,00026;
май 2024;782;0,00033;
июнь 2024;567;0,00029;
июль 2024;664;0,00034;
август 2024;653;0,00033;
сентябрь 2024;590;0,00027;
октябрь 2024;682;0,00027;
ноябрь 2024;755;0,00029;
декабрь 2024;592;0,00022;
январь 2025;848;0,00031;
февраль 2025;687;0,00026;
март 2025;718;0,00026;
апрель 2025;614;0,00023;
май 2025;689;0,00028;
июнь 2025;647;0,00027;
