Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Расходные материалы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 347;0,00063;
август 2023;1 302;0,00061;
сентябрь 2023;1 821;0,00076;
октябрь 2023;1 824;0,00068;
ноябрь 2023;1 514;0,00057;
декабрь 2023;1 357;0,00050;
январь 2024;1 272;0,00048;
февраль 2024;1 459;0,00059;
март 2024;1 756;0,00068;
апрель 2024;1 659;0,00069;
май 2024;1 858;0,00079;
июнь 2024;1 126;0,00057;
июль 2024;1 181;0,00060;
август 2024;1 019;0,00052;
сентябрь 2024;1 313;0,00060;
октябрь 2024;1 755;0,00070;
ноябрь 2024;1 570;0,00060;
декабрь 2024;1 636;0,00061;
январь 2025;1 392;0,00051;
февраль 2025;1 797;0,00069;
март 2025;1 967;0,00073;
апрель 2025;1 936;0,00074;
май 2025;1 470;0,00061;
июнь 2025;1 355;0,00058;
