Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Профнастил», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;32 572;0,0154;
август 2023;30 985;0,0145;
сентябрь 2023;28 566;0,0119;
октябрь 2023;22 511;0,0084;
ноябрь 2023;15 330;0,0058;
декабрь 2023;7 841;0,0029;
январь 2024;8 560;0,0032;
февраль 2024;10 512;0,0042;
март 2024;16 922;0,0066;
апрель 2024;30 150;0,0126;
май 2024;36 218;0,0154;
июнь 2024;28 355;0,0145;
июль 2024;30 643;0,0157;
август 2024;30 000;0,0153;
сентябрь 2024;27 160;0,0126;
октябрь 2024;22 703;0,0091;
ноябрь 2024;14 226;0,0055;
декабрь 2024;10 110;0,0037;
январь 2025;10 570;0,0039;
февраль 2025;12 595;0,0048;
март 2025;18 630;0,0069;
апрель 2025;29 209;0,0112;
май 2025;32 273;0,0135;
июнь 2025;32 454;0,0139;
