Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для лестниц», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;69;0,0000327;
август 2023;64;0,0000300;
сентябрь 2023;92;0,0000384;
октябрь 2023;46;0,0000171;
ноябрь 2023;71;0,0000270;
декабрь 2023;68;0,0000253;
январь 2024;55;0,0000210;
февраль 2024;50;0,0000204;
март 2024;65;0,0000254;
апрель 2024;37;0,0000155;
май 2024;36;0,0000153;
июнь 2024;43;0,0000220;
июль 2024;30;0,0000153;
август 2024;47;0,0000240;
сентябрь 2024;33;0,0000153;
октябрь 2024;32;0,0000128;
ноябрь 2024;39;0,0000151;
декабрь 2024;17;0,0000063;
январь 2025;60;0,0000222;
февраль 2025;101;0,0000390;
март 2025;55;0,0000204;
апрель 2025;33;0,0000127;
май 2025;50;0,0000209;
июнь 2025;29;0,0000124;
