Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Умный свет», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;238;0,000112;
август 2023;296;0,000139;
сентябрь 2023;406;0,000169;
октябрь 2023;501;0,000187;
ноябрь 2023;531;0,000201;
декабрь 2023;580;0,000216;
январь 2024;454;0,000173;
февраль 2024;374;0,000152;
март 2024;317;0,000124;
апрель 2024;248;0,000104;
май 2024;213;0,000090;
июнь 2024;181;0,000092;
июль 2024;140;0,000071;
август 2024;158;0,000080;
сентябрь 2024;240;0,000111;
октябрь 2024;292;0,000117;
ноябрь 2024;396;0,000153;
декабрь 2024;446;0,000166;
январь 2025;460;0,000170;
февраль 2025;321;0,000124;
март 2025;283;0,000105;
апрель 2025;384;0,000148;
май 2025;287;0,000120;
июнь 2025;185;0,000079;
