Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Эмали для пола», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;342;0,000162;
август 2023;268;0,000125;
сентябрь 2023;223;0,000093;
октябрь 2023;146;0,000054;
ноябрь 2023;154;0,000058;
декабрь 2023;122;0,000045;
январь 2024;63;0,000024;
февраль 2024;90;0,000036;
март 2024;119;0,000046;
апрель 2024;181;0,000076;
май 2024;231;0,000098;
июнь 2024;215;0,000110;
июль 2024;284;0,000145;
август 2024;240;0,000122;
сентябрь 2024;177;0,000082;
октябрь 2024;172;0,000069;
ноябрь 2024;123;0,000047;
декабрь 2024;77;0,000028;
январь 2025;93;0,000034;
февраль 2025;133;0,000051;
март 2025;196;0,000073;
апрель 2025;184;0,000071;
май 2025;270;0,000113;
июнь 2025;329;0,000141;
