Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тепловые завесы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;825;0,00039;
август 2023;839;0,00039;
сентябрь 2023;1 269;0,00052;
октябрь 2023;2 494;0,00093;
ноябрь 2023;2 881;0,00109;
декабрь 2023;4 283;0,00159;
январь 2024;2 513;0,00096;
февраль 2024;1 681;0,00068;
март 2024;1 209;0,00047;
апрель 2024;853;0,00035;
май 2024;958;0,00040;
июнь 2024;872;0,00044;
июль 2024;979;0,00050;
август 2024;1 096;0,00056;
сентябрь 2024;1 521;0,00070;
октябрь 2024;2 876;0,00115;
ноябрь 2024;3 174;0,00123;
декабрь 2024;2 931;0,00109;
январь 2025;2 086;0,00077;
февраль 2025;1 774;0,00068;
март 2025;1 307;0,00048;
апрель 2025;1 031;0,00039;
май 2025;913;0,00038;
июнь 2025;939;0,00040;
