Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Жидкие гвозди», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 639;0,00077;
август 2023;1 819;0,00085;
сентябрь 2023;1 621;0,00067;
октябрь 2023;1 950;0,00072;
ноябрь 2023;1 846;0,00070;
декабрь 2023;1 715;0,00064;
январь 2024;1 456;0,00055;
февраль 2024;1 526;0,00062;
март 2024;1 669;0,00065;
апрель 2024;1 651;0,00069;
май 2024;1 476;0,00063;
июнь 2024;1 419;0,00072;
июль 2024;1 591;0,00081;
август 2024;1 785;0,00091;
сентябрь 2024;1 564;0,00072;
октябрь 2024;1 780;0,00071;
ноябрь 2024;1 930;0,00074;
декабрь 2024;1 834;0,00068;
январь 2025;1 837;0,00068;
февраль 2025;1 760;0,00068;
март 2025;1 754;0,00065;
апрель 2025;1 595;0,00061;
май 2025;1 610;0,00067;
июнь 2025;2 282;0,00097;
