Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Чердачные лестницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;20 076;0,00025;
февраль 2018;18 913;0,00024;
март 2018;27 063;0,00032;
апрель 2018;21 396;0,00028;
май 2018;23 479;0,00031;
июнь 2018;25 834;0,00037;
июль 2018;29 927;0,00042;
август 2018;31 011;0,00043;
сентябрь 2018;30 661;0,00038;
октябрь 2018;34 428;0,00037;
ноябрь 2018;26 096;0,00030;
декабрь 2018;19 757;0,00023;
январь 2019;21 833;0,00024;
февраль 2019;22 028;0,00026;
март 2019;27 343;0,00031;
апрель 2019;23 787;0,00028;
май 2019;24 700;0,00031;
июнь 2019;23 674;0,00032;
июль 2019;32 402;0,00044;
август 2019;29 417;0,00040;
сентябрь 2019;29 952;0,00038;
октябрь 2019;31 759;0,00035;
ноябрь 2019;30 090;0,00033;
декабрь 2019;26 272;0,00028;
январь 2020;29 831;0,00030;
февраль 2020;26 502;0,00028;
март 2020;26 195;0,00026;
апрель 2020;28 018;0,00023;
май 2020;36 331;0,00033;
июнь 2020;36 011;0,00040;
июль 2020;35 036;0,00041;
август 2020;35 952;0,00042;
сентябрь 2020;36 469;0,00038;
октябрь 2020;39 525;0,00036;
ноябрь 2020;39 872;0,00034;
декабрь 2020;31 570;0,00028;
январь 2021;31 283;0,00029;
февраль 2021;27 894;0,00027;
март 2021;32 727;0,00030;
апрель 2021;33 096;0,00030;
май 2021;32 518;0,00031;
июнь 2021;33 598;0,00033;
июль 2021;34 863;0,00035;
август 2021;41 567;0,00041;
сентябрь 2021;48 443;0,00045;
октябрь 2021;46 062;0,00040;
ноябрь 2021;45 530;0,00039;
декабрь 2021;33 901;0,00028;
январь 2022;35 211;0,00029;
февраль 2022;36 289;0,00030;
март 2022;55 014;0,00043;
апрель 2022;39 973;0,00033;
май 2022;40 867;0,00034;
июнь 2022;37 953;0,00035;
июль 2022;42 076;0,00040;
август 2022;46 497;0,00043;
сентябрь 2022;42 469;0,00036;
октябрь 2022;40 992;0,00033;
ноябрь 2022;38 730;0,00030;
декабрь 2022;28 626;0,00022;
январь 2023;28 511;0,00023;
февраль 2023;28 894;0,00025;
март 2023;33 323;0,00026;
апрель 2023;28 261;0,00024;
май 2023;30 813;0,00027;
июнь 2023;31 055;0,00030;
июль 2023;35 675;0,00035;
август 2023;36 234;0,00036;
сентябрь 2023;36 878;0,00034;
октябрь 2023;44 729;0,00037;
ноябрь 2023;39 911;0,00034;
декабрь 2023;28 129;0,00023;
январь 2024;29 825;0,00024;
февраль 2024;30 344;0,00027;
март 2024;31 863;0,00027;
апрель 2024;29 268;0,00026;
май 2024;30 281;0,00028;
июнь 2024;28 374;0,00030;
июль 2024;31 634;0,00033;
август 2024;34 793;0,00037;
сентябрь 2024;35 961;0,00036;
октябрь 2024;41 946;0,00037;
ноябрь 2024;37 807;0,00032;
декабрь 2024;31 582;0,00026;
январь 2025;32 262;0,00027;
февраль 2025;29 668;0,00025;
март 2025;29 186;0,00024;
апрель 2025;26 436;0,00023;
май 2025;26 650;0,00024;
июнь 2025;32 096;0,00030;
