Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гвозди», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;335 478;0,0043;
февраль 2018;339 938;0,0043;
март 2018;384 828;0,0045;
апрель 2018;360 246;0,0047;
май 2018;369 399;0,0049;
июнь 2018;348 686;0,0050;
июль 2018;368 856;0,0052;
август 2018;388 445;0,0055;
сентябрь 2018;404 610;0,0051;
октябрь 2018;457 933;0,0049;
ноябрь 2018;402 541;0,0047;
декабрь 2018;391 995;0,0045;
январь 2019;384 162;0,0043;
февраль 2019;393 923;0,0046;
март 2019;419 592;0,0047;
апрель 2019;417 288;0,0050;
май 2019;402 905;0,0050;
июнь 2019;384 538;0,0053;
июль 2019;424 444;0,0057;
август 2019;403 551;0,0055;
сентябрь 2019;406 857;0,0051;
октябрь 2019;462 535;0,0052;
ноябрь 2019;435 636;0,0049;
декабрь 2019;437 850;0,0047;
январь 2020;446 176;0,0045;
февраль 2020;450 121;0,0048;
март 2020;459 049;0,0046;
апрель 2020;728 593;0,0060;
май 2020;670 425;0,0062;
июнь 2020;505 762;0,0056;
июль 2020;486 058;0,0057;
август 2020;477 091;0,0056;
сентябрь 2020;543 702;0,0057;
октябрь 2020;609 412;0,0056;
ноябрь 2020;615 292;0,0053;
декабрь 2020;585 213;0,0052;
январь 2021;536 788;0,0051;
февраль 2021;523 844;0,0052;
март 2021;602 578;0,0055;
апрель 2021;665 576;0,0061;
май 2021;611 286;0,0059;
июнь 2021;574 164;0,0057;
июль 2021;602 424;0,0062;
август 2021;639 493;0,0063;
сентябрь 2021;650 245;0,0060;
октябрь 2021;668 955;0,0058;
ноябрь 2021;671 853;0,0057;
декабрь 2021;673 455;0,0056;
январь 2022;659 253;0,0055;
февраль 2022;696 475;0,0058;
март 2022;986 282;0,0077;
апрель 2022;1 333 253;0,0111;
май 2022;1 150 721;0,0096;
июнь 2022;1 039 799;0,0097;
июль 2022;1 028 886;0,0098;
август 2022;1 008 632;0,0093;
сентябрь 2022;1 015 698;0,0086;
октябрь 2022;1 090 189;0,0088;
ноябрь 2022;1 011 661;0,0080;
декабрь 2022;961 411;0,0076;
январь 2023;899 806;0,0073;
февраль 2023;865 483;0,0075;
март 2023;963 304;0,0077;
апрель 2023;930 562;0,0080;
май 2023;912 346;0,0080;
июнь 2023;865 669;0,0084;
июль 2023;890 560;0,0088;
август 2023;871 019;0,0086;
сентябрь 2023;866 101;0,0080;
октябрь 2023;985 267;0,0082;
ноябрь 2023;941 152;0,0080;
декабрь 2023;861 836;0,0072;
январь 2024;857 776;0,0071;
февраль 2024;874 480;0,0077;
март 2024;932 561;0,0080;
апрель 2024;920 920;0,0084;
май 2024;872 424;0,0081;
июнь 2024;756 415;0,0081;
июль 2024;815 743;0,0087;
август 2024;861 219;0,0092;
сентябрь 2024;810 602;0,0081;
октябрь 2024;886 122;0,0078;
ноябрь 2024;871 901;0,0074;
декабрь 2024;877 659;0,0073;
январь 2025;848 940;0,0071;
февраль 2025;851 698;0,0074;
март 2025;890 380;0,0074;
апрель 2025;873 130;0,0076;
май 2025;831 048;0,0077;
июнь 2025;834 159;0,0079;
