Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Масла, воски для дерева», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;9 102 470;0,11;
февраль 2018;9 247 200;0,11;
март 2018;10 496 665;0,12;
апрель 2018;9 983 178;0,13;
май 2018;9 848 276;0,13;
июнь 2018;8 968 636;0,12;
июль 2018;9 186 319;0,13;
август 2018;9 530 305;0,13;
сентябрь 2018;9 738 274;0,12;
октябрь 2018;11 661 359;0,12;
ноябрь 2018;10 672 250;0,12;
декабрь 2018;9 776 160;0,11;
январь 2019;10 343 259;0,11;
февраль 2019;10 556 754;0,12;
март 2019;11 601 366;0,13;
апрель 2019;11 618 400;0,14;
май 2019;10 699 626;0,13;
июнь 2019;9 975 476;0,13;
июль 2019;10 501 770;0,14;
август 2019;10 396 292;0,14;
сентябрь 2019;10 637 302;0,13;
октябрь 2019;12 096 186;0,13;
ноябрь 2019;11 705 033;0,13;
декабрь 2019;11 502 907;0,12;
январь 2020;12 163 314;0,12;
февраль 2020;11 936 505;0,12;
март 2020;12 642 147;0,12;
апрель 2020;13 083 855;0,10;
май 2020;13 648 941;0,12;
июнь 2020;12 369 408;0,13;
июль 2020;11 708 346;0,13;
август 2020;11 821 589;0,14;
сентябрь 2020;12 149 653;0,12;
октябрь 2020;13 831 191;0,12;
ноябрь 2020;14 001 111;0,12;
декабрь 2020;13 058 173;0,11;
январь 2021;12 811 158;0,12;
февраль 2021;12 511 260;0,12;
март 2021;14 596 640;0,13;
апрель 2021;15 134 405;0,14;
май 2021;14 026 786;0,13;
июнь 2021;13 620 400;0,13;
июль 2021;13 464 090;0,13;
август 2021;14 437 875;0,14;
сентябрь 2021;14 266 632;0,13;
октябрь 2021;15 043 515;0,13;
ноябрь 2021;14 872 391;0,12;
декабрь 2021;14 213 750;0,11;
январь 2022;14 580 014;0,12;
февраль 2022;14 073 680;0,11;
март 2022;24 748 256;0,19;
апрель 2022;19 910 617;0,16;
май 2022;19 261 542;0,16;
июнь 2022;17 771 008;0,16;
июль 2022;17 538 519;0,16;
август 2022;18 217 523;0,16;
сентябрь 2022;16 670 261;0,14;
октябрь 2022;17 885 170;0,14;
ноябрь 2022;17 932 085;0,14;
декабрь 2022;15 829 142;0,12;
январь 2023;16 021 524;0,12;
февраль 2023;15 521 035;0,13;
март 2023;17 838 800;0,14;
апрель 2023;17 348 225;0,15;
май 2023;16 828 162;0,14;
июнь 2023;15 733 424;0,15;
июль 2023;15 642 738;0,15;
август 2023;15 827 350;0,15;
сентябрь 2023;15 502 225;0,14;
октябрь 2023;17 320 321;0,14;
ноябрь 2023;16 299 356;0,13;
декабрь 2023;15 174 488;0,12;
январь 2024;15 665 004;0,12;
февраль 2024;15 656 653;0,13;
март 2024;16 948 856;0,14;
апрель 2024;17 034 253;0,15;
май 2024;16 764 177;0,15;
июнь 2024;14 702 192;0,15;
июль 2024;14 787 920;0,15;
август 2024;14 769 735;0,15;
сентябрь 2024;14 809 224;0,14;
октябрь 2024;17 146 047;0,15;
ноябрь 2024;16 847 686;0,14;
декабрь 2024;15 852 607;0,13;
январь 2025;15 828 056;0,13;
февраль 2025;15 910 893;0,13;
март 2025;17 681 274;0,14;
апрель 2025;17 295 325;0,15;
май 2025;16 955 952;0,15;
июнь 2025;17 009 748;0,16;
