Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Рулонная кровля», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 299;0,000081;
февраль 2018;10 739;0,000138;
март 2018;11 037;0,000131;
апрель 2018;16 117;0,000212;
май 2018;15 196;0,000202;
июнь 2018;15 100;0,000217;
июль 2018;14 443;0,000206;
август 2018;14 062;0,000199;
сентябрь 2018;12 539;0,000158;
октябрь 2018;12 802;0,000138;
ноябрь 2018;8 631;0,000101;
декабрь 2018;7 350;0,000085;
январь 2019;7 313;0,000083;
февраль 2019;8 124;0,000096;
март 2019;12 030;0,000137;
апрель 2019;13 603;0,000164;
май 2019;13 634;0,000172;
июнь 2019;14 236;0,000196;
июль 2019;15 368;0,000209;
август 2019;13 140;0,000180;
сентябрь 2019;12 932;0,000164;
октябрь 2019;12 415;0,000140;
ноябрь 2019;9 977;0,000112;
декабрь 2019;12 613;0,000135;
январь 2020;11 967;0,000123;
февраль 2020;11 341;0,000123;
март 2020;12 495;0,000127;
апрель 2020;14 025;0,000117;
май 2020;18 437;0,000171;
июнь 2020;20 207;0,000226;
июль 2020;17 168;0,000203;
август 2020;14 737;0,000175;
сентябрь 2020;14 496;0,000152;
октябрь 2020;12 431;0,000115;
ноябрь 2020;10 973;0,000095;
декабрь 2020;10 087;0,000091;
январь 2021;7 837;0,000075;
февраль 2021;9 098;0,000091;
март 2021;13 311;0,000122;
апрель 2021;18 203;0,000168;
май 2021;19 062;0,000184;
июнь 2021;20 127;0,000202;
июль 2021;17 823;0,000183;
август 2021;18 714;0,000186;
сентябрь 2021;17 780;0,000165;
октябрь 2021;14 457;0,000127;
ноябрь 2021;12 159;0,000104;
декабрь 2021;11 629;0,000098;
январь 2022;9 230;0,000077;
февраль 2022;11 618;0,000098;
март 2022;15 385;0,000120;
апрель 2022;19 018;0,000159;
май 2022;19 837;0,000166;
июнь 2022;21 235;0,000198;
июль 2022;18 498;0,000177;
август 2022;19 346;0,000179;
сентябрь 2022;16 387;0,000140;
октябрь 2022;13 620;0,000110;
ноябрь 2022;12 098;0,000095;
декабрь 2022;9 616;0,000076;
январь 2023;8 112;0,000065;
февраль 2023;9 474;0,000083;
март 2023;14 922;0,000119;
апрель 2023;17 202;0,000149;
май 2023;17 838;0,000157;
июнь 2023;19 095;0,000186;
июль 2023;17 170;0,000170;
август 2023;18 141;0,000180;
сентябрь 2023;15 743;0,000146;
октябрь 2023;14 721;0,000123;
ноябрь 2023;11 511;0,000098;
декабрь 2023;9 488;0,000079;
январь 2024;8 226;0,000068;
февраль 2024;10 642;0,000094;
март 2024;13 610;0,000118;
апрель 2024;17 534;0,000161;
май 2024;17 709;0,000166;
июнь 2024;17 734;0,000189;
июль 2024;16 448;0,000176;
август 2024;16 209;0,000173;
сентябрь 2024;15 251;0,000153;
октябрь 2024;13 572;0,000120;
ноябрь 2024;11 951;0,000102;
декабрь 2024;11 018;0,000091;
январь 2025;9 369;0,000078;
февраль 2025;11 091;0,000097;
март 2025;13 747;0,000114;
апрель 2025;15 874;0,000139;
май 2025;16 070;0,000150;
июнь 2025;18 347;0,000173;
