Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Проволока», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;479 000;0,0061;
февраль 2018;552 503;0,0071;
март 2018;590 995;0,0070;
апрель 2018;528 419;0,0069;
май 2018;529 376;0,0070;
июнь 2018;446 261;0,0064;
июль 2018;435 746;0,0062;
август 2018;458 343;0,0064;
сентябрь 2018;522 953;0,0065;
октябрь 2018;630 456;0,0068;
ноябрь 2018;578 889;0,0068;
декабрь 2018;604 718;0,0070;
январь 2019;558 847;0,0063;
февраль 2019;648 676;0,0077;
март 2019;648 950;0,0073;
апрель 2019;622 953;0,0075;
май 2019;547 072;0,0069;
июнь 2019;454 431;0,0062;
июль 2019;435 647;0,0059;
август 2019;415 800;0,0057;
сентябрь 2019;503 362;0,0063;
октябрь 2019;595 229;0,0067;
ноябрь 2019;603 499;0,0068;
декабрь 2019;752 175;0,0081;
январь 2020;644 177;0,0066;
февраль 2020;739 384;0,0080;
март 2020;725 010;0,0073;
апрель 2020;1 078 915;0,0090;
май 2020;860 484;0,0080;
июнь 2020;587 475;0,0065;
июль 2020;475 747;0,0056;
август 2020;507 832;0,0060;
сентябрь 2020;632 300;0,0066;
октябрь 2020;706 197;0,0065;
ноябрь 2020;787 683;0,0068;
декабрь 2020;912 737;0,0082;
январь 2021;687 864;0,0065;
февраль 2021;850 498;0,0085;
март 2021;881 258;0,0080;
апрель 2021;829 341;0,0076;
май 2021;708 928;0,0068;
июнь 2021;640 894;0,0064;
июль 2021;552 342;0,0056;
август 2021;563 147;0,0056;
сентябрь 2021;711 829;0,0066;
октябрь 2021;772 591;0,0067;
ноябрь 2021;875 788;0,0075;
декабрь 2021;1 008 794;0,0085;
январь 2022;823 935;0,0069;
февраль 2022;1 019 783;0,0086;
март 2022;1 022 240;0,0080;
апрель 2022;938 243;0,0078;
май 2022;892 912;0,0074;
июнь 2022;731 141;0,0068;
июль 2022;645 492;0,0061;
август 2022;674 691;0,0062;
сентябрь 2022;766 823;0,0065;
октябрь 2022;828 098;0,0066;
ноябрь 2022;932 074;0,0073;
декабрь 2022;1 028 287;0,0081;
январь 2023;866 362;0,0070;
февраль 2023;972 478;0,0085;
март 2023;1 059 468;0,0085;
апрель 2023;917 591;0,0079;
май 2023;875 083;0,0077;
июнь 2023;704 276;0,0068;
июль 2023;627 902;0,0062;
август 2023;614 380;0,0061;
сентябрь 2023;740 979;0,0068;
октябрь 2023;855 659;0,0071;
ноябрь 2023;942 705;0,0080;
декабрь 2023;1 018 154;0,0085;
январь 2024;821 311;0,0068;
февраль 2024;999 335;0,0089;
март 2024;1 003 726;0,0087;
апрель 2024;963 466;0,0088;
май 2024;871 567;0,0081;
июнь 2024;665 810;0,0071;
июль 2024;634 022;0,0068;
август 2024;618 226;0,0066;
сентябрь 2024;710 864;0,0071;
октябрь 2024;915 001;0,0081;
ноябрь 2024;1 100 102;0,0094;
декабрь 2024;1 284 336;0,0107;
январь 2025;950 387;0,0080;
февраль 2025;1 178 456;0,0103;
март 2025;1 257 266;0,0104;
апрель 2025;1 386 025;0,0121;
май 2025;968 302;0,0090;
июнь 2025;823 061;0,0077;
