Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрошашлычница», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;38 893;0,00050;
февраль 2018;38 774;0,00050;
март 2018;35 531;0,00042;
апрель 2018;30 981;0,00040;
май 2018;31 249;0,00041;
июнь 2018;22 309;0,00032;
июль 2018;19 979;0,00028;
август 2018;22 429;0,00031;
сентябрь 2018;22 623;0,00028;
октябрь 2018;27 441;0,00029;
ноябрь 2018;30 848;0,00036;
декабрь 2018;44 366;0,00051;
январь 2019;41 497;0,00047;
февраль 2019;38 255;0,00045;
март 2019;32 701;0,00037;
апрель 2019;28 206;0,00034;
май 2019;31 361;0,00039;
июнь 2019;19 545;0,00026;
июль 2019;21 564;0,00029;
август 2019;20 946;0,00028;
сентябрь 2019;23 652;0,00030;
октябрь 2019;25 747;0,00029;
ноябрь 2019;31 921;0,00035;
декабрь 2019;45 902;0,00049;
январь 2020;38 704;0,00039;
февраль 2020;38 430;0,00041;
март 2020;34 605;0,00035;
апрель 2020;69 464;0,00058;
май 2020;81 099;0,00075;
июнь 2020;33 015;0,00037;
июль 2020;26 157;0,00031;
август 2020;25 378;0,00030;
сентябрь 2020;24 970;0,00026;
октябрь 2020;29 008;0,00026;
ноябрь 2020;36 612;0,00031;
декабрь 2020;52 027;0,00047;
январь 2021;43 057;0,00041;
февраль 2021;42 013;0,00042;
март 2021;37 738;0,00034;
апрель 2021;33 786;0,00031;
май 2021;39 427;0,00038;
июнь 2021;25 384;0,00025;
июль 2021;23 146;0,00023;
август 2021;23 630;0,00023;
сентябрь 2021;26 208;0,00024;
октябрь 2021;27 224;0,00023;
ноябрь 2021;34 471;0,00029;
декабрь 2021;48 444;0,00040;
январь 2022;41 600;0,00034;
февраль 2022;37 570;0,00031;
март 2022;30 894;0,00024;
апрель 2022;32 483;0,00027;
май 2022;39 145;0,00032;
июнь 2022;24 277;0,00022;
июль 2022;22 557;0,00021;
август 2022;21 651;0,00020;
сентябрь 2022;21 157;0,00018;
октябрь 2022;24 187;0,00019;
ноябрь 2022;31 151;0,00024;
декабрь 2022;40 406;0,00032;
январь 2023;34 760;0,00028;
февраль 2023;32 836;0,00028;
март 2023;31 592;0,00025;
апрель 2023;28 691;0,00024;
май 2023;31 170;0,00027;
июнь 2023;21 630;0,00021;
июль 2023;19 825;0,00019;
август 2023;18 704;0,00018;
сентябрь 2023;19 676;0,00018;
октябрь 2023;25 861;0,00021;
ноябрь 2023;27 494;0,00023;
декабрь 2023;36 217;0,00030;
январь 2024;33 421;0,00027;
февраль 2024;32 383;0,00028;
март 2024;28 377;0,00024;
апрель 2024;25 442;0,00023;
май 2024;29 346;0,00027;
июнь 2024;18 692;0,00020;
июль 2024;16 497;0,00017;
август 2024;15 882;0,00016;
сентябрь 2024;16 212;0,00016;
октябрь 2024;19 083;0,00016;
ноябрь 2024;23 737;0,00020;
декабрь 2024;30 044;0,00025;
январь 2025;26 455;0,00022;
февраль 2025;24 748;0,00021;
март 2025;24 860;0,00020;
апрель 2025;21 824;0,00019;
май 2025;25 675;0,00024;
июнь 2025;17 779;0,00016;
