Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Грунты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;882 156;0,0113;
февраль 2018;1 059 203;0,0136;
март 2018;1 342 075;0,0159;
апрель 2018;1 998 239;0,0263;
май 2018;3 321 417;0,0442;
июнь 2018;2 019 871;0,0291;
июль 2018;1 414 948;0,0202;
август 2018;1 199 270;0,0169;
сентябрь 2018;1 209 766;0,0152;
октябрь 2018;1 248 502;0,0135;
ноябрь 2018;870 058;0,0102;
декабрь 2018;756 427;0,0088;
январь 2019;1 043 848;0,0118;
февраль 2019;1 255 435;0,0149;
март 2019;1 625 648;0,0185;
апрель 2019;2 380 395;0,0288;
май 2019;3 605 303;0,0455;
июнь 2019;2 185 694;0,0301;
июль 2019;1 510 481;0,0205;
август 2019;1 160 126;0,0159;
сентябрь 2019;1 185 033;0,0150;
октябрь 2019;1 171 636;0,0132;
ноябрь 2019;897 125;0,0101;
декабрь 2019;874 728;0,0094;
январь 2020;1 133 245;0,0116;
февраль 2020;1 293 470;0,0140;
март 2020;1 684 897;0,0171;
апрель 2020;2 950 146;0,0246;
май 2020;5 191 291;0,0484;
июнь 2020;2 904 297;0,0325;
июль 2020;1 953 847;0,0231;
август 2020;1 446 117;0,0172;
сентябрь 2020;1 459 301;0,0153;
октябрь 2020;1 450 241;0,0134;
ноябрь 2020;1 193 172;0,0104;
декабрь 2020;1 106 843;0,0100;
январь 2021;1 255 527;0,0120;
февраль 2021;1 455 640;0,0145;
март 2021;1 955 441;0,0179;
апрель 2021;3 155 585;0,0292;
май 2021;5 138 530;0,0498;
июнь 2021;3 176 559;0,0320;
июль 2021;2 349 037;0,0242;
август 2021;1 839 221;0,0183;
сентябрь 2021;1 765 274;0,0164;
октябрь 2021;1 642 380;0,0144;
ноябрь 2021;1 348 943;0,0116;
декабрь 2021;1 180 018;0,0099;
январь 2022;1 526 978;0,0128;
февраль 2022;1 830 300;0,0154;
март 2022;2 376 180;0,0186;
апрель 2022;4 007 952;0,0335;
май 2022;7 417 664;0,0621;
июнь 2022;4 464 360;0,0416;
июль 2022;3 152 921;0,0302;
август 2022;2 348 523;0,0217;
сентябрь 2022;2 005 205;0,0171;
октябрь 2022;1 786 048;0,0144;
ноябрь 2022;1 391 838;0,0110;
декабрь 2022;1 187 332;0,0094;
январь 2023;1 548 934;0,0125;
февраль 2023;1 823 571;0,0159;
март 2023;2 709 682;0,0217;
апрель 2023;4 248 334;0,0368;
май 2023;6 504 664;0,0575;
июнь 2023;3 837 236;0,0374;
июль 2023;2 859 476;0,0283;
август 2023;2 219 026;0,0220;
сентябрь 2023;2 195 762;0,0204;
октябрь 2023;2 002 282;0,0167;
ноябрь 2023;1 461 586;0,0124;
декабрь 2023;1 158 247;0,0097;
январь 2024;1 532 748;0,0127;
февраль 2024;1 952 323;0,0173;
март 2024;2 541 467;0,0220;
апрель 2024;4 381 708;0,0403;
май 2024;5 730 611;0,0538;
июнь 2024;3 924 142;0,0420;
июль 2024;3 051 176;0,0327;
август 2024;2 192 954;0,0234;
сентябрь 2024;2 237 903;0,0225;
октябрь 2024;2 130 405;0,0189;
ноябрь 2024;1 564 187;0,0134;
декабрь 2024;1 379 258;0,0114;
январь 2025;1 754 107;0,0147;
февраль 2025;2 050 537;0,0179;
март 2025;2 897 448;0,0241;
апрель 2025;3 672 731;0,0322;
май 2025;5 995 114;0,0561;
июнь 2025;3 958 159;0,0374;
