Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Нивелиры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;885 788;0,01140;
февраль 2018;478 368;0,00617;
март 2018;595 586;0,00708;
апрель 2018;551 676;0,00728;
май 2018;537 556;0,00715;
июнь 2018;578 399;0,00833;
июль 2018;559 814;0,00800;
август 2018;509 277;0,00721;
сентябрь 2018;469 680;0,00592;
октябрь 2018;312 323;0,00338;
ноябрь 2018;102 692;0,00120;
декабрь 2018;96 828;0,00113;
январь 2019;92 151;0,00104;
февраль 2019;100 778;0,00120;
март 2019;114 681;0,00130;
апрель 2019;123 290;0,00149;
май 2019;118 952;0,00150;
июнь 2019;123 565;0,00170;
июль 2019;133 036;0,00180;
август 2019;114 085;0,00156;
сентябрь 2019;122 340;0,00155;
октябрь 2019;124 337;0,00140;
ноябрь 2019;118 520;0,00133;
декабрь 2019;125 820;0,00135;
январь 2020;116 856;0,00120;
февраль 2020;123 029;0,00133;
март 2020;119 911;0,00122;
апрель 2020;128 325;0,00107;
май 2020;167 306;0,00156;
июнь 2020;166 135;0,00186;
июль 2020;147 513;0,00175;
август 2020;134 573;0,00160;
сентябрь 2020;140 646;0,00148;
октябрь 2020;151 891;0,00141;
ноябрь 2020;158 471;0,00138;
декабрь 2020;146 546;0,00132;
январь 2021;126 225;0,00120;
февраль 2021;127 486;0,00127;
март 2021;147 246;0,00135;
апрель 2021;161 088;0,00149;
май 2021;164 666;0,00159;
июнь 2021;176 751;0,00178;
июль 2021;153 456;0,00158;
август 2021;155 240;0,00154;
сентябрь 2021;155 036;0,00144;
октябрь 2021;147 022;0,00129;
ноябрь 2021;148 279;0,00127;
декабрь 2021;150 756;0,00127;
январь 2022;131 752;0,00110;
февраль 2022;134 263;0,00113;
март 2022;146 599;0,00115;
апрель 2022;153 067;0,00128;
май 2022;173 130;0,00145;
июнь 2022;171 829;0,00160;
июль 2022;149 393;0,00143;
август 2022;143 005;0,00132;
сентябрь 2022;127 545;0,00109;
октябрь 2022;127 754;0,00103;
ноябрь 2022;139 283;0,00110;
декабрь 2022;130 409;0,00103;
январь 2023;115 352;0,00093;
февраль 2023;122 361;0,00107;
март 2023;143 589;0,00115;
апрель 2023;147 360;0,00127;
май 2023;167 431;0,00148;
июнь 2023;167 439;0,00163;
июль 2023;142 586;0,00141;
август 2023;133 329;0,00132;
сентябрь 2023;137 642;0,00127;
октябрь 2023;153 264;0,00128;
ноябрь 2023;144 221;0,00122;
декабрь 2023;127 964;0,00107;
январь 2024;111 978;0,00092;
февраль 2024;129 550;0,00115;
март 2024;133 996;0,00116;
апрель 2024;148 815;0,00137;
май 2024;160 158;0,00150;
июнь 2024;150 613;0,00161;
июль 2024;131 568;0,00141;
август 2024;119 040;0,00127;
сентябрь 2024;117 255;0,00118;
октябрь 2024;129 341;0,00115;
ноябрь 2024;135 113;0,00116;
декабрь 2024;139 099;0,00115;
январь 2025;117 183;0,00098;
февраль 2025;126 299;0,00110;
март 2025;136 897;0,00114;
апрель 2025;145 552;0,00127;
май 2025;149 278;0,00139;
июнь 2025;163 846;0,00155;
