Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Теплоносители», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;61 715;0,00079;
февраль 2018;56 741;0,00073;
март 2018;56 518;0,00067;
апрель 2018;50 343;0,00066;
май 2018;46 130;0,00061;
июнь 2018;43 500;0,00062;
июль 2018;40 371;0,00057;
август 2018;53 028;0,00075;
сентябрь 2018;78 324;0,00098;
октябрь 2018;102 808;0,00111;
ноябрь 2018;82 794;0,00097;
декабрь 2018;71 423;0,00083;
январь 2019;63 027;0,00071;
февраль 2019;58 789;0,00070;
март 2019;51 524;0,00058;
апрель 2019;53 488;0,00064;
май 2019;44 618;0,00056;
июнь 2019;43 343;0,00059;
июль 2019;46 119;0,00062;
август 2019;53 605;0,00073;
сентябрь 2019;76 721;0,00097;
октябрь 2019;93 986;0,00106;
ноябрь 2019;97 238;0,00109;
декабрь 2019;78 208;0,00084;
январь 2020;63 765;0,00065;
февраль 2020;63 101;0,00068;
март 2020;60 983;0,00062;
апрель 2020;88 653;0,00074;
май 2020;73 106;0,00068;
июнь 2020;62 426;0,00069;
июль 2020;48 531;0,00057;
август 2020;55 998;0,00066;
сентябрь 2020;83 019;0,00087;
октябрь 2020;107 678;0,00100;
ноябрь 2020;116 021;0,00101;
декабрь 2020;119 500;0,00108;
январь 2021;95 842;0,00091;
февраль 2021;86 653;0,00086;
март 2021;82 457;0,00075;
апрель 2021;80 912;0,00075;
май 2021;64 992;0,00062;
июнь 2021;67 283;0,00067;
июль 2021;58 577;0,00060;
август 2021;79 287;0,00079;
сентябрь 2021;133 936;0,00125;
октябрь 2021;131 492;0,00115;
ноябрь 2021;132 703;0,00114;
декабрь 2021;137 518;0,00116;
январь 2022;95 690;0,00080;
февраль 2022;78 524;0,00066;
март 2022;88 730;0,00069;
апрель 2022;85 430;0,00071;
май 2022;76 357;0,00063;
июнь 2022;71 815;0,00067;
июль 2022;60 115;0,00057;
август 2022;79 276;0,00073;
сентябрь 2022;127 830;0,00109;
октябрь 2022;137 902;0,00111;
ноябрь 2022;153 243;0,00121;
декабрь 2022;135 312;0,00107;
январь 2023;110 048;0,00089;
февраль 2023;83 815;0,00073;
март 2023;87 654;0,00070;
апрель 2023;79 900;0,00069;
май 2023;77 855;0,00068;
июнь 2023;69 396;0,00067;
июль 2023;61 875;0,00061;
август 2023;75 917;0,00075;
сентябрь 2023;104 384;0,00097;
октябрь 2023;156 274;0,00131;
ноябрь 2023;144 923;0,00123;
декабрь 2023;137 512;0,00115;
январь 2024;123 635;0,00102;
февраль 2024;88 642;0,00078;
март 2024;81 227;0,00070;
апрель 2024;82 912;0,00076;
май 2024;78 317;0,00073;
июнь 2024;62 223;0,00066;
июль 2024;63 905;0,00068;
август 2024;76 404;0,00081;
сентябрь 2024;109 545;0,00110;
октябрь 2024;162 059;0,00144;
ноябрь 2024;151 011;0,00129;
декабрь 2024;140 575;0,00117;
январь 2025;100 079;0,00084;
февраль 2025;100 244;0,00087;
март 2025;90 332;0,00075;
апрель 2025;88 903;0,00078;
май 2025;76 662;0,00071;
июнь 2025;77 436;0,00073;
