Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 518 679;0,032;
февраль 2018;2 509 939;0,032;
март 2018;2 845 586;0,033;
апрель 2018;2 680 034;0,035;
май 2018;2 702 799;0,035;
июнь 2018;2 592 600;0,037;
июль 2018;2 743 051;0,039;
август 2018;2 956 600;0,041;
сентябрь 2018;3 082 772;0,038;
октябрь 2018;3 845 190;0,041;
ноябрь 2018;3 069 406;0,036;
декабрь 2018;2 908 798;0,034;
январь 2019;3 081 372;0,034;
февраль 2019;2 912 852;0,034;
март 2019;3 147 418;0,035;
апрель 2019;2 981 713;0,036;
май 2019;2 833 251;0,035;
июнь 2019;2 739 194;0,037;
июль 2019;3 050 841;0,041;
август 2019;3 016 633;0,041;
сентябрь 2019;3 104 245;0,039;
октябрь 2019;3 337 110;0,037;
ноябрь 2019;3 295 370;0,037;
декабрь 2019;3 318 726;0,035;
январь 2020;3 336 611;0,034;
февраль 2020;3 313 162;0,036;
март 2020;3 464 472;0,035;
апрель 2020;3 830 569;0,032;
май 2020;4 212 731;0,039;
июнь 2020;3 785 328;0,042;
июль 2020;3 747 026;0,044;
август 2020;3 781 284;0,045;
сентябрь 2020;3 965 125;0,041;
октябрь 2020;4 334 725;0,040;
ноябрь 2020;4 546 867;0,039;
декабрь 2020;4 234 243;0,038;
январь 2021;3 893 477;0,037;
февраль 2021;3 721 926;0,037;
март 2021;4 192 349;0,038;
апрель 2021;4 295 430;0,039;
май 2021;4 143 213;0,040;
июнь 2021;4 176 562;0,042;
июль 2021;4 175 163;0,043;
август 2021;4 597 770;0,045;
сентябрь 2021;4 809 440;0,044;
октябрь 2021;4 744 558;0,041;
ноябрь 2021;4 676 088;0,040;
декабрь 2021;4 501 036;0,037;
январь 2022;4 318 763;0,036;
февраль 2022;4 190 627;0,035;
март 2022;5 133 081;0,040;
апрель 2022;4 533 752;0,037;
май 2022;4 475 681;0,037;
июнь 2022;4 131 694;0,038;
июль 2022;4 184 112;0,040;
август 2022;4 330 066;0,040;
сентябрь 2022;4 239 874;0,036;
октябрь 2022;4 505 976;0,036;
ноябрь 2022;4 475 138;0,035;
декабрь 2022;4 095 772;0,032;
январь 2023;3 946 364;0,032;
февраль 2023;4 582 991;0,040;
март 2023;4 441 286;0,035;
апрель 2023;4 085 826;0,035;
май 2023;4 093 001;0,036;
июнь 2023;3 940 611;0,038;
июль 2023;4 035 810;0,040;
август 2023;4 112 372;0,040;
сентябрь 2023;4 413 273;0,041;
октябрь 2023;4 913 911;0,041;
ноябрь 2023;4 467 846;0,038;
декабрь 2023;4 036 373;0,033;
январь 2024;4 051 610;0,033;
февраль 2024;3 963 722;0,035;
март 2024;4 122 646;0,035;
апрель 2024;4 126 598;0,038;
май 2024;4 156 178;0,039;
июнь 2024;3 620 724;0,038;
июль 2024;3 825 553;0,041;
август 2024;3 854 552;0,041;
сентябрь 2024;4 091 391;0,041;
октябрь 2024;4 489 276;0,039;
ноябрь 2024;4 430 850;0,038;
декабрь 2024;4 303 118;0,035;
январь 2025;4 139 177;0,034;
февраль 2025;4 346 405;0,038;
март 2025;4 466 621;0,037;
апрель 2025;4 278 652;0,037;
май 2025;4 041 873;0,037;
июнь 2025;4 122 365;0,039;
