Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные емкости», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;820;0,0000105;
февраль 2018;1 013;0,0000130;
март 2018;1 095;0,0000130;
апрель 2018;1 198;0,0000158;
май 2018;1 533;0,0000204;
июнь 2018;1 250;0,0000180;
июль 2018;1 180;0,0000168;
август 2018;1 048;0,0000148;
сентябрь 2018;926;0,0000116;
октябрь 2018;1 048;0,0000113;
ноябрь 2018;991;0,0000116;
декабрь 2018;786;0,0000091;
январь 2019;933;0,0000105;
февраль 2019;1 056;0,0000125;
март 2019;1 320;0,0000150;
апрель 2019;1 488;0,0000180;
май 2019;1 580;0,0000199;
июнь 2019;1 547;0,0000213;
июль 2019;1 157;0,0000157;
август 2019;1 007;0,0000138;
сентябрь 2019;1 054;0,0000133;
октябрь 2019;1 042;0,0000117;
ноябрь 2019;1 005;0,0000113;
декабрь 2019;989;0,0000106;
январь 2020;1 141;0,0000117;
февраль 2020;1 294;0,0000140;
март 2020;1 566;0,0000159;
апрель 2020;1 978;0,0000165;
май 2020;2 838;0,0000264;
июнь 2020;2 749;0,0000308;
июль 2020;1 965;0,0000233;
август 2020;1 565;0,0000186;
сентябрь 2020;1 381;0,0000145;
октябрь 2020;1 725;0,0000160;
ноябрь 2020;1 752;0,0000152;
декабрь 2020;1 579;0,0000142;
январь 2021;1 718;0,0000164;
февраль 2021;1 672;0,0000167;
март 2021;2 141;0,0000196;
апрель 2021;2 774;0,0000257;
май 2021;3 147;0,0000305;
июнь 2021;3 166;0,0000319;
июль 2021;2 493;0,0000256;
август 2021;2 286;0,0000228;
сентябрь 2021;2 084;0,0000194;
октябрь 2021;2 122;0,0000186;
ноябрь 2021;1 998;0,0000172;
декабрь 2021;1 729;0,0000145;
январь 2022;1 993;0,0000167;
февраль 2022;2 361;0,0000199;
март 2022;2 431;0,0000190;
апрель 2022;3 293;0,0000275;
май 2022;4 167;0,0000349;
июнь 2022;3 778;0,0000352;
июль 2022;2 787;0,0000267;
август 2022;2 541;0,0000235;
сентябрь 2022;2 037;0,0000174;
октябрь 2022;2 124;0,0000171;
ноябрь 2022;2 267;0,0000179;
декабрь 2022;1 720;0,0000136;
январь 2023;2 064;0,0000167;
февраль 2023;2 330;0,0000204;
март 2023;3 329;0,0000267;
апрель 2023;3 990;0,0000345;
май 2023;4 810;0,0000425;
июнь 2023;3 835;0,0000374;
июль 2023;3 253;0,0000322;
август 2023;2 766;0,0000275;
сентябрь 2023;2 672;0,0000248;
октябрь 2023;2 960;0,0000248;
ноябрь 2023;2 947;0,0000251;
декабрь 2023;2 278;0,0000190;
январь 2024;2 693;0,0000223;
февраль 2024;3 362;0,0000299;
март 2024;4 224;0,0000366;
апрель 2024;4 906;0,0000452;
май 2024;6 042;0,0000567;
июнь 2024;4 967;0,0000531;
июль 2024;3 942;0,0000423;
август 2024;3 170;0,0000339;
сентябрь 2024;3 027;0,0000304;
октябрь 2024;3 230;0,0000287;
ноябрь 2024;3 242;0,0000278;
декабрь 2024;2 630;0,0000219;
январь 2025;3 195;0,0000269;
февраль 2025;3 957;0,0000346;
март 2025;4 998;0,0000417;
апрель 2025;5 904;0,0000518;
май 2025;6 870;0,0000643;
июнь 2025;5 513;0,0000522;
