Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стеллажи для ванной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 062;0,000026;
февраль 2018;1 736;0,000022;
март 2018;1 837;0,000021;
апрель 2018;1 397;0,000018;
май 2018;1 454;0,000019;
июнь 2018;1 521;0,000021;
июль 2018;1 681;0,000024;
август 2018;2 105;0,000029;
сентябрь 2018;1 937;0,000024;
октябрь 2018;2 266;0,000024;
ноябрь 2018;2 087;0,000024;
декабрь 2018;1 937;0,000022;
январь 2019;2 484;0,000028;
февраль 2019;2 198;0,000026;
март 2019;2 007;0,000022;
апрель 2019;1 764;0,000021;
май 2019;1 764;0,000022;
июнь 2019;1 978;0,000027;
июль 2019;2 471;0,000033;
август 2019;2 491;0,000034;
сентябрь 2019;2 406;0,000030;
октябрь 2019;3 919;0,000044;
ноябрь 2019;3 356;0,000037;
декабрь 2019;2 967;0,000031;
январь 2020;3 950;0,000040;
февраль 2020;3 330;0,000036;
март 2020;2 965;0,000030;
апрель 2020;3 025;0,000025;
май 2020;3 857;0,000035;
июнь 2020;3 909;0,000043;
июль 2020;4 273;0,000050;
август 2020;4 399;0,000052;
сентябрь 2020;4 763;0,000050;
октябрь 2020;5 693;0,000052;
ноябрь 2020;6 082;0,000053;
декабрь 2020;5 301;0,000047;
январь 2021;6 426;0,000061;
февраль 2021;5 423;0,000054;
март 2021;5 623;0,000051;
апрель 2021;4 750;0,000044;
май 2021;4 607;0,000044;
июнь 2021;4 798;0,000048;
июль 2021;5 438;0,000056;
август 2021;7 733;0,000077;
сентябрь 2021;6 968;0,000065;
октябрь 2021;7 176;0,000063;
ноябрь 2021;7 185;0,000061;
декабрь 2021;5 901;0,000049;
январь 2022;7 518;0,000063;
февраль 2022;6 278;0,000053;
март 2022;7 214;0,000056;
апрель 2022;6 111;0,000051;
май 2022;5 546;0,000046;
июнь 2022;4 921;0,000045;
июль 2022;6 195;0,000059;
август 2022;6 523;0,000060;
сентябрь 2022;5 887;0,000050;
октябрь 2022;6 716;0,000054;
ноябрь 2022;7 292;0,000057;
декабрь 2022;5 353;0,000042;
январь 2023;6 486;0,000052;
февраль 2023;5 301;0,000046;
март 2023;5 408;0,000043;
апрель 2023;4 185;0,000036;
май 2023;4 197;0,000037;
июнь 2023;4 317;0,000042;
июль 2023;5 190;0,000051;
август 2023;5 285;0,000052;
сентябрь 2023;5 255;0,000048;
октябрь 2023;6 974;0,000058;
ноябрь 2023;6 460;0,000055;
декабрь 2023;4 970;0,000041;
январь 2024;5 997;0,000049;
февраль 2024;5 242;0,000046;
март 2024;4 847;0,000042;
апрель 2024;4 359;0,000040;
май 2024;3 921;0,000036;
июнь 2024;3 979;0,000042;
июль 2024;4 300;0,000046;
август 2024;4 475;0,000047;
сентябрь 2024;4 467;0,000044;
октябрь 2024;4 698;0,000041;
ноябрь 2024;4 929;0,000042;
декабрь 2024;4 227;0,000035;
январь 2025;4 670;0,000039;
февраль 2025;3 766;0,000033;
март 2025;4 066;0,000033;
апрель 2025;2 864;0,000025;
май 2025;2 794;0,000026;
июнь 2025;3 141;0,000029;
