Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Проектные кухни», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;394;0,0000050;
февраль 2018;278;0,0000035;
март 2018;376;0,0000044;
апрель 2018;369;0,0000048;
май 2018;413;0,0000054;
июнь 2018;206;0,0000029;
июль 2018;178;0,0000025;
август 2018;180;0,0000025;
сентябрь 2018;668;0,0000084;
октябрь 2018;722;0,0000078;
ноябрь 2018;572;0,0000067;
декабрь 2018;361;0,0000042;
январь 2019;397;0,0000045;
февраль 2019;391;0,0000046;
март 2019;450;0,0000051;
апрель 2019;484;0,0000058;
май 2019;399;0,0000050;
июнь 2019;227;0,0000031;
июль 2019;269;0,0000036;
август 2019;180;0,0000024;
сентябрь 2019;509;0,0000064;
октябрь 2019;695;0,0000078;
ноябрь 2019;580;0,0000065;
декабрь 2019;541;0,0000058;
январь 2020;520;0,0000053;
февраль 2020;460;0,0000050;
март 2020;496;0,0000050;
апрель 2020;687;0,0000057;
май 2020;643;0,0000059;
июнь 2020;312;0,0000034;
июль 2020;262;0,0000031;
август 2020;422;0,0000050;
сентябрь 2020;514;0,0000054;
октябрь 2020;891;0,0000082;
ноябрь 2020;967;0,0000084;
декабрь 2020;772;0,0000069;
январь 2021;621;0,0000059;
февраль 2021;689;0,0000068;
март 2021;708;0,0000065;
апрель 2021;761;0,0000070;
май 2021;614;0,0000059;
июнь 2021;347;0,0000034;
июль 2021;381;0,0000039;
август 2021;352;0,0000035;
сентябрь 2021;684;0,0000063;
октябрь 2021;777;0,0000068;
ноябрь 2021;830;0,0000071;
декабрь 2021;713;0,0000060;
январь 2022;586;0,0000049;
февраль 2022;611;0,0000051;
март 2022;792;0,0000062;
апрель 2022;688;0,0000057;
май 2022;591;0,0000049;
июнь 2022;313;0,0000029;
июль 2022;301;0,0000028;
август 2022;321;0,0000029;
сентябрь 2022;448;0,0000038;
октябрь 2022;736;0,0000059;
ноябрь 2022;833;0,0000066;
декабрь 2022;552;0,0000043;
январь 2023;614;0,0000049;
февраль 2023;569;0,0000049;
март 2023;667;0,0000053;
апрель 2023;658;0,0000057;
май 2023;423;0,0000037;
июнь 2023;313;0,0000030;
июль 2023;305;0,0000030;
август 2023;217;0,0000021;
сентябрь 2023;316;0,0000029;
октябрь 2023;464;0,0000038;
ноябрь 2023;552;0,0000047;
декабрь 2023;396;0,0000033;
январь 2024;413;0,0000034;
февраль 2024;424;0,0000037;
март 2024;462;0,0000040;
апрель 2024;441;0,0000040;
май 2024;410;0,0000038;
июнь 2024;169;0,0000018;
июль 2024;180;0,0000019;
август 2024;104;0,0000011;
сентябрь 2024;226;0,0000022;
октябрь 2024;301;0,0000026;
ноябрь 2024;436;0,0000037;
декабрь 2024;294;0,0000024;
январь 2025;391;0,0000032;
февраль 2025;450;0,0000039;
март 2025;450;0,0000037;
апрель 2025;451;0,0000039;
май 2025;408;0,0000038;
июнь 2025;155;0,0000014;
