Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Терморегуляторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;291 078;0,0037;
февраль 2018;259 332;0,0033;
март 2018;267 732;0,0031;
апрель 2018;220 144;0,0029;
май 2018;198 821;0,0026;
июнь 2018;182 871;0,0026;
июль 2018;180 986;0,0025;
август 2018;210 319;0,0029;
сентябрь 2018;313 976;0,0039;
октябрь 2018;410 807;0,0044;
ноябрь 2018;385 071;0,0045;
декабрь 2018;329 739;0,0038;
январь 2019;292 406;0,0033;
февраль 2019;260 674;0,0031;
март 2019;265 353;0,0030;
апрель 2019;234 701;0,0028;
май 2019;203 611;0,0025;
июнь 2019;177 577;0,0024;
июль 2019;197 062;0,0026;
август 2019;225 993;0,0031;
сентябрь 2019;328 300;0,0041;
октябрь 2019;351 997;0,0039;
ноябрь 2019;393 124;0,0044;
декабрь 2019;327 074;0,0035;
январь 2020;307 620;0,0031;
февраль 2020;295 997;0,0032;
март 2020;274 377;0,0027;
апрель 2020;271 852;0,0022;
май 2020;304 380;0,0028;
июнь 2020;242 465;0,0027;
июль 2020;228 630;0,0027;
август 2020;259 420;0,0030;
сентябрь 2020;369 337;0,0038;
октябрь 2020;456 367;0,0042;
ноябрь 2020;526 162;0,0045;
декабрь 2020;487 602;0,0044;
январь 2021;420 270;0,0040;
февраль 2021;368 895;0,0036;
март 2021;354 959;0,0032;
апрель 2021;323 822;0,0030;
май 2021;276 081;0,0026;
июнь 2021;252 600;0,0025;
июль 2021;247 445;0,0025;
август 2021;320 272;0,0031;
сентябрь 2021;549 747;0,0051;
октябрь 2021;480 020;0,0042;
ноябрь 2021;517 704;0,0044;
декабрь 2021;515 183;0,0043;
январь 2022;414 131;0,0034;
февраль 2022;337 688;0,0028;
март 2022;400 873;0,0031;
апрель 2022;350 707;0,0029;
май 2022;347 214;0,0029;
июнь 2022;272 738;0,0025;
июль 2022;255 075;0,0024;
август 2022;295 083;0,0027;
сентябрь 2022;493 476;0,0042;
октябрь 2022;472 103;0,0038;
ноябрь 2022;574 227;0,0045;
декабрь 2022;481 639;0,0038;
январь 2023;417 191;0,0033;
февраль 2023;337 975;0,0029;
март 2023;342 947;0,0027;
апрель 2023;293 606;0,0025;
май 2023;291 618;0,0025;
июнь 2023;254 297;0,0024;
июль 2023;248 314;0,0024;
август 2023;290 026;0,0028;
сентябрь 2023;393 997;0,0036;
октябрь 2023;616 855;0,0051;
ноябрь 2023;564 248;0,0048;
декабрь 2023;514 197;0,0043;
январь 2024;463 795;0,0038;
февраль 2024;351 546;0,0031;
март 2024;320 935;0,0027;
апрель 2024;284 305;0,0026;
май 2024;300 721;0,0028;
июнь 2024;219 585;0,0023;
июль 2024;226 810;0,0024;
август 2024;257 650;0,0027;
сентябрь 2024;353 392;0,0035;
октябрь 2024;547 142;0,0048;
ноябрь 2024;514 522;0,0044;
декабрь 2024;467 678;0,0038;
январь 2025;370 636;0,0031;
февраль 2025;356 223;0,0031;
март 2025;316 062;0,0026;
апрель 2025;294 007;0,0025;
май 2025;275 891;0,0025;
июнь 2025;244 081;0,0023;
