Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аккумуляторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 530 158;0,071;
февраль 2018;4 701 185;0,060;
март 2018;4 649 300;0,055;
апрель 2018;3 897 393;0,051;
май 2018;3 737 108;0,049;
июнь 2018;3 469 140;0,049;
июль 2018;3 719 452;0,053;
август 2018;3 953 149;0,055;
сентябрь 2018;4 157 056;0,052;
октябрь 2018;5 356 763;0,058;
ноябрь 2018;5 865 930;0,069;
декабрь 2018;5 779 093;0,067;
январь 2019;5 454 659;0,061;
февраль 2019;4 559 917;0,054;
март 2019;4 203 091;0,047;
апрель 2019;4 020 426;0,048;
май 2019;3 808 236;0,048;
июнь 2019;3 638 644;0,050;
июль 2019;3 871 046;0,052;
август 2019;3 808 580;0,052;
сентябрь 2019;4 051 786;0,051;
октябрь 2019;4 794 368;0,054;
ноябрь 2019;5 968 749;0,067;
декабрь 2019;5 149 250;0,055;
январь 2020;5 137 322;0,052;
февраль 2020;4 736 379;0,051;
март 2020;4 255 309;0,043;
апрель 2020;4 404 116;0,036;
май 2020;4 862 562;0,045;
июнь 2020;4 586 123;0,051;
июль 2020;4 518 802;0,053;
август 2020;4 428 926;0,052;
сентябрь 2020;4 612 979;0,048;
октябрь 2020;5 460 107;0,050;
ноябрь 2020;6 791 577;0,059;
декабрь 2020;7 436 481;0,067;
январь 2021;8 233 595;0,078;
февраль 2021;7 379 463;0,073;
март 2021;5 523 071;0,050;
апрель 2021;5 116 458;0,047;
май 2021;4 793 082;0,046;
июнь 2021;4 920 063;0,049;
июль 2021;5 060 304;0,052;
август 2021;5 519 892;0,055;
сентябрь 2021;5 905 302;0,055;
октябрь 2021;6 206 070;0,054;
ноябрь 2021;7 177 402;0,061;
декабрь 2021;8 641 568;0,072;
январь 2022;6 939 280;0,058;
февраль 2022;5 538 838;0,046;
март 2022;6 230 359;0,048;
апрель 2022;5 816 584;0,048;
май 2022;5 769 873;0,048;
июнь 2022;5 351 779;0,049;
июль 2022;5 514 170;0,052;
август 2022;5 709 557;0,052;
сентябрь 2022;5 673 907;0,048;
октябрь 2022;6 414 693;0,051;
ноябрь 2022;8 418 178;0,066;
декабрь 2022;7 962 435;0,063;
январь 2023;9 022 778;0,073;
февраль 2023;5 738 570;0,050;
март 2023;5 773 681;0,046;
апрель 2023;5 474 111;0,047;
май 2023;5 290 212;0,046;
июнь 2023;5 104 314;0,049;
июль 2023;5 293 564;0,052;
август 2023;5 527 030;0,055;
сентябрь 2023;5 615 505;0,052;
октябрь 2023;7 152 194;0,059;
ноябрь 2023;7 923 118;0,067;
декабрь 2023;9 456 242;0,079;
январь 2024;10 384 338;0,086;
февраль 2024;6 443 690;0,057;
март 2024;5 799 058;0,050;
апрель 2024;5 640 136;0,051;
май 2024;5 619 513;0,052;
июнь 2024;4 951 526;0,053;
июль 2024;5 305 460;0,057;
август 2024;5 197 132;0,055;
сентябрь 2024;5 377 986;0,054;
октябрь 2024;6 753 980;0,060;
ноябрь 2024;7 562 944;0,065;
декабрь 2024;7 576 541;0,063;
январь 2025;6 940 149;0,058;
февраль 2025;6 739 099;0,059;
март 2025;6 208 092;0,051;
апрель 2025;5 808 860;0,050;
май 2025;5 676 934;0,053;
июнь 2025;5 980 899;0,056;
