Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиты OSB», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;13 776;0,000177;
февраль 2018;14 230;0,000183;
март 2018;16 031;0,000190;
апрель 2018;18 427;0,000243;
май 2018;25 723;0,000342;
июнь 2018;25 722;0,000370;
июль 2018;27 430;0,000392;
август 2018;26 983;0,000382;
сентябрь 2018;23 806;0,000300;
октябрь 2018;23 928;0,000259;
ноябрь 2018;18 439;0,000216;
декабрь 2018;13 815;0,000161;
январь 2019;14 143;0,000160;
февраль 2019;14 879;0,000177;
март 2019;17 815;0,000202;
апрель 2019;21 967;0,000265;
май 2019;23 226;0,000293;
июнь 2019;22 110;0,000305;
июль 2019;23 861;0,000324;
август 2019;21 593;0,000297;
сентябрь 2019;18 423;0,000234;
октябрь 2019;20 189;0,000228;
ноябрь 2019;15 238;0,000171;
декабрь 2019;13 065;0,000140;
январь 2020;14 908;0,000153;
февраль 2020;15 616;0,000169;
март 2020;17 120;0,000174;
апрель 2020;21 891;0,000183;
май 2020;31 071;0,000289;
июнь 2020;29 476;0,000330;
июль 2020;28 450;0,000337;
август 2020;26 069;0,000310;
сентябрь 2020;23 049;0,000242;
октябрь 2020;22 848;0,000212;
ноябрь 2020;20 407;0,000178;
декабрь 2020;16 805;0,000152;
январь 2021;16 440;0,000157;
февраль 2021;16 428;0,000164;
март 2021;21 490;0,000197;
апрель 2021;30 010;0,000278;
май 2021;41 005;0,000397;
июнь 2021;45 649;0,000460;
июль 2021;34 103;0,000351;
август 2021;32 439;0,000323;
сентябрь 2021;28 705;0,000267;
октябрь 2021;23 764;0,000208;
ноябрь 2021;23 001;0,000198;
декабрь 2021;18 277;0,000154;
январь 2022;19 436;0,000163;
февраль 2022;19 386;0,000164;
март 2022;25 179;0,000197;
апрель 2022;23 746;0,000198;
май 2022;27 139;0,000227;
июнь 2022;27 929;0,000260;
июль 2022;27 102;0,000259;
август 2022;26 570;0,000246;
сентябрь 2022;20 613;0,000176;
октябрь 2022;17 651;0,000142;
ноябрь 2022;16 323;0,000129;
декабрь 2022;12 377;0,000098;
январь 2023;13 247;0,000107;
февраль 2023;14 606;0,000127;
март 2023;16 456;0,000132;
апрель 2023;18 436;0,000159;
май 2023;21 122;0,000186;
июнь 2023;21 770;0,000212;
июль 2023;23 001;0,000228;
август 2023;21 926;0,000218;
сентябрь 2023;20 713;0,000192;
октябрь 2023;19 891;0,000166;
ноябрь 2023;14 559;0,000124;
декабрь 2023;11 513;0,000096;
январь 2024;13 636;0,000113;
февраль 2024;14 051;0,000125;
март 2024;14 980;0,000129;
апрель 2024;17 558;0,000161;
май 2024;20 087;0,000188;
июнь 2024;19 228;0,000205;
июль 2024;20 881;0,000224;
август 2024;19 419;0,000207;
сентябрь 2024;17 819;0,000179;
октябрь 2024;17 435;0,000155;
ноябрь 2024;15 009;0,000129;
декабрь 2024;12 206;0,000101;
январь 2025;13 426;0,000113;
февраль 2025;14 658;0,000128;
март 2025;16 214;0,000135;
апрель 2025;18 137;0,000159;
май 2025;19 510;0,000182;
июнь 2025;21 400;0,000202;
