Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зажимы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;316 212;0,0040;
февраль 2018;369 846;0,0047;
март 2018;383 290;0,0045;
апрель 2018;362 547;0,0047;
май 2018;364 246;0,0048;
июнь 2018;343 480;0,0049;
июль 2018;340 828;0,0048;
август 2018;364 745;0,0051;
сентябрь 2018;382 792;0,0048;
октябрь 2018;474 041;0,0051;
ноябрь 2018;405 835;0,0047;
декабрь 2018;381 767;0,0044;
январь 2019;367 531;0,0041;
февраль 2019;414 056;0,0049;
март 2019;432 751;0,0049;
апрель 2019;428 050;0,0051;
май 2019;380 026;0,0048;
июнь 2019;372 522;0,0051;
июль 2019;385 859;0,0052;
август 2019;377 467;0,0051;
сентябрь 2019;398 703;0,0050;
октябрь 2019;467 249;0,0052;
ноябрь 2019;438 239;0,0049;
декабрь 2019;443 062;0,0047;
январь 2020;432 251;0,0044;
февраль 2020;463 772;0,0050;
март 2020;454 404;0,0046;
апрель 2020;496 138;0,0041;
май 2020;496 591;0,0046;
июнь 2020;466 151;0,0052;
июль 2020;426 365;0,0050;
август 2020;414 416;0,0049;
сентябрь 2020;479 233;0,0050;
октябрь 2020;509 298;0,0047;
ноябрь 2020;533 189;0,0046;
декабрь 2020;510 491;0,0046;
январь 2021;453 486;0,0043;
февраль 2021;530 408;0,0053;
март 2021;579 790;0,0053;
апрель 2021;600 936;0,0055;
май 2021;524 722;0,0050;
июнь 2021;538 671;0,0054;
июль 2021;493 680;0,0050;
август 2021;532 261;0,0053;
сентябрь 2021;556 250;0,0051;
октябрь 2021;565 606;0,0049;
ноябрь 2021;582 119;0,0050;
декабрь 2021;575 473;0,0048;
январь 2022;547 332;0,0045;
февраль 2022;589 257;0,0049;
март 2022;605 161;0,0047;
апрель 2022;617 493;0,0051;
май 2022;613 245;0,0051;
июнь 2022;592 513;0,0055;
июль 2022;539 095;0,0051;
август 2022;581 879;0,0054;
сентябрь 2022;565 353;0,0048;
октябрь 2022;606 211;0,0049;
ноябрь 2022;643 625;0,0051;
декабрь 2022;585 338;0,0046;
январь 2023;570 243;0,0046;
февраль 2023;602 726;0,0052;
март 2023;692 323;0,0055;
апрель 2023;629 515;0,0054;
май 2023;643 000;0,0056;
июнь 2023;617 860;0,0060;
июль 2023;612 489;0,0060;
август 2023;622 068;0,0061;
сентябрь 2023;616 338;0,0057;
октябрь 2023;703 117;0,0058;
ноябрь 2023;690 404;0,0058;
декабрь 2023;628 639;0,0052;
январь 2024;627 295;0,0052;
февраль 2024;702 446;0,0062;
март 2024;700 297;0,0060;
апрель 2024;710 414;0,0065;
май 2024;686 101;0,0064;
июнь 2024;600 764;0,0064;
июль 2024;604 493;0,0064;
август 2024;582 125;0,0062;
сентябрь 2024;601 373;0,0060;
октябрь 2024;703 736;0,0062;
ноябрь 2024;715 579;0,0061;
декабрь 2024;692 398;0,0057;
январь 2025;644 607;0,0054;
февраль 2025;737 355;0,0064;
март 2025;757 354;0,0063;
апрель 2025;722 790;0,0063;
май 2025;660 040;0,0061;
июнь 2025;677 180;0,0064;
