Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Клей ПВА», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;88 301;0,00113;
февраль 2018;93 583;0,00120;
март 2018;113 545;0,00135;
апрель 2018;97 342;0,00128;
май 2018;101 522;0,00135;
июнь 2018;88 157;0,00127;
июль 2018;81 604;0,00116;
август 2018;87 794;0,00124;
сентябрь 2018;104 353;0,00131;
октябрь 2018;138 287;0,00150;
ноябрь 2018;147 613;0,00173;
декабрь 2018;193 360;0,00226;
январь 2019;171 035;0,00194;
февраль 2019;194 909;0,00232;
март 2019;218 703;0,00249;
апрель 2019;178 937;0,00216;
май 2019;169 225;0,00214;
июнь 2019;132 348;0,00182;
июль 2019;114 887;0,00156;
август 2019;114 499;0,00157;
сентябрь 2019;99 337;0,00126;
октябрь 2019;124 078;0,00140;
ноябрь 2019;133 866;0,00150;
декабрь 2019;176 771;0,00190;
январь 2020;122 812;0,00126;
февраль 2020;117 349;0,00127;
март 2020;118 399;0,00120;
апрель 2020;138 460;0,00115;
май 2020;122 225;0,00113;
июнь 2020;93 229;0,00104;
июль 2020;79 299;0,00094;
август 2020;77 974;0,00092;
сентябрь 2020;78 752;0,00082;
октябрь 2020;91 839;0,00085;
ноябрь 2020;108 476;0,00094;
декабрь 2020;138 244;0,00125;
январь 2021;80 536;0,00077;
февраль 2021;79 214;0,00079;
март 2021;83 654;0,00076;
апрель 2021;85 834;0,00079;
май 2021;72 553;0,00070;
июнь 2021;69 877;0,00070;
июль 2021;67 154;0,00069;
август 2021;75 614;0,00075;
сентябрь 2021;75 679;0,00070;
октябрь 2021;81 689;0,00071;
ноябрь 2021;100 745;0,00086;
декабрь 2021;131 821;0,00111;
январь 2022;84 618;0,00070;
февраль 2022;83 955;0,00071;
март 2022;102 315;0,00080;
апрель 2022;100 796;0,00084;
май 2022;90 984;0,00076;
июнь 2022;85 896;0,00080;
июль 2022;82 909;0,00079;
август 2022;83 696;0,00077;
сентябрь 2022;78 490;0,00067;
октябрь 2022;86 226;0,00069;
ноябрь 2022;107 645;0,00085;
декабрь 2022;126 805;0,00100;
январь 2023;81 713;0,00066;
февраль 2023;85 403;0,00074;
март 2023;94 685;0,00076;
апрель 2023;84 329;0,00073;
май 2023;76 744;0,00067;
июнь 2023;73 469;0,00071;
июль 2023;73 484;0,00072;
август 2023;74 561;0,00074;
сентябрь 2023;76 483;0,00071;
октябрь 2023;94 861;0,00079;
ноябрь 2023;104 063;0,00088;
декабрь 2023;117 844;0,00098;
январь 2024;81 973;0,00067;
февраль 2024;85 365;0,00076;
март 2024;84 658;0,00073;
апрель 2024;82 509;0,00076;
май 2024;78 567;0,00073;
июнь 2024;65 659;0,00070;
июль 2024;67 571;0,00072;
август 2024;70 475;0,00075;
сентябрь 2024;69 822;0,00070;
октябрь 2024;86 440;0,00077;
ноябрь 2024;98 793;0,00084;
декабрь 2024;114 642;0,00095;
январь 2025;85 134;0,00071;
февраль 2025;87 690;0,00076;
март 2025;89 697;0,00074;
апрель 2025;89 878;0,00078;
май 2025;79 621;0,00074;
июнь 2025;78 195;0,00074;
