Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Инструмент резьбонарезной», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 643;0,000021;
февраль 2018;1 538;0,000019;
март 2018;2 066;0,000024;
апрель 2018;1 793;0,000023;
май 2018;2 213;0,000029;
июнь 2018;1 743;0,000025;
июль 2018;2 186;0,000031;
август 2018;2 158;0,000030;
сентябрь 2018;1 384;0,000017;
октябрь 2018;1 837;0,000019;
ноябрь 2018;1 533;0,000018;
декабрь 2018;1 801;0,000021;
январь 2019;1 578;0,000017;
февраль 2019;2 008;0,000023;
март 2019;1 873;0,000021;
апрель 2019;1 925;0,000023;
май 2019;1 846;0,000023;
июнь 2019;1 678;0,000023;
июль 2019;1 763;0,000023;
август 2019;1 169;0,000016;
сентябрь 2019;1 128;0,000014;
октябрь 2019;1 267;0,000014;
ноябрь 2019;1 442;0,000016;
декабрь 2019;1 446;0,000015;
январь 2020;1 377;0,000014;
февраль 2020;1 513;0,000016;
март 2020;1 143;0,000011;
апрель 2020;1 782;0,000014;
май 2020;1 719;0,000016;
июнь 2020;2 144;0,000024;
июль 2020;1 443;0,000017;
август 2020;1 069;0,000012;
сентябрь 2020;1 354;0,000014;
октябрь 2020;1 388;0,000012;
ноябрь 2020;1 450;0,000012;
декабрь 2020;1 767;0,000015;
январь 2021;1 365;0,000013;
февраль 2021;1 420;0,000014;
март 2021;1 614;0,000014;
апрель 2021;1 460;0,000013;
май 2021;1 408;0,000013;
июнь 2021;1 407;0,000014;
июль 2021;1 279;0,000013;
август 2021;1 512;0,000015;
сентябрь 2021;1 677;0,000015;
октябрь 2021;1 481;0,000013;
ноябрь 2021;1 486;0,000012;
декабрь 2021;1 587;0,000013;
январь 2022;2 245;0,000018;
февраль 2022;1 817;0,000015;
март 2022;2 565;0,000020;
апрель 2022;1 686;0,000014;
май 2022;1 921;0,000016;
июнь 2022;1 630;0,000015;
июль 2022;1 504;0,000014;
август 2022;1 296;0,000012;
сентябрь 2022;1 301;0,000011;
октябрь 2022;1 975;0,000015;
ноябрь 2022;1 362;0,000010;
декабрь 2022;1 588;0,000012;
январь 2023;1 313;0,000010;
февраль 2023;1 300;0,000011;
март 2023;1 571;0,000012;
апрель 2023;1 568;0,000013;
май 2023;1 566;0,000013;
июнь 2023;1 474;0,000014;
июль 2023;1 457;0,000014;
август 2023;1 149;0,000011;
сентябрь 2023;1 252;0,000011;
октябрь 2023;1 844;0,000015;
ноябрь 2023;1 462;0,000012;
декабрь 2023;1 629;0,000013;
январь 2024;1 399;0,000011;
февраль 2024;1 521;0,000013;
март 2024;1 584;0,000013;
апрель 2024;1 548;0,000014;
май 2024;1 834;0,000017;
июнь 2024;1 623;0,000017;
июль 2024;1 185;0,000012;
август 2024;1 395;0,000014;
сентябрь 2024;1 372;0,000013;
октябрь 2024;2 020;0,000017;
ноябрь 2024;1 770;0,000015;
декабрь 2024;1 666;0,000013;
январь 2025;1 421;0,000011;
февраль 2025;1 720;0,000015;
март 2025;1 421;0,000011;
апрель 2025;1 547;0,000013;
май 2025;1 750;0,000016;
июнь 2025;1 844;0,000017;
