Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Гипсокартон», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;735 996;0,0094;
февраль 2018;695 000;0,0089;
март 2018;768 339;0,0091;
апрель 2018;629 083;0,0083;
май 2018;612 162;0,0081;
июнь 2018;640 282;0,0092;
июль 2018;703 157;0,0100;
август 2018;704 622;0,0099;
сентябрь 2018;673 251;0,0084;
октябрь 2018;792 558;0,0086;
ноябрь 2018;777 606;0,0091;
декабрь 2018;689 024;0,0080;
январь 2019;775 616;0,0088;
февраль 2019;732 406;0,0087;
март 2019;802 915;0,0091;
апрель 2019;693 350;0,0083;
май 2019;641 748;0,0081;
июнь 2019;650 263;0,0089;
июль 2019;751 876;0,0102;
август 2019;705 653;0,0097;
сентябрь 2019;660 548;0,0083;
октябрь 2019;781 067;0,0088;
ноябрь 2019;815 584;0,0091;
декабрь 2019;814 197;0,0087;
январь 2020;919 475;0,0094;
февраль 2020;828 822;0,0090;
март 2020;781 954;0,0079;
апрель 2020;776 970;0,0065;
май 2020;836 182;0,0077;
июнь 2020;824 517;0,0092;
июль 2020;824 418;0,0097;
август 2020;809 017;0,0096;
сентябрь 2020;752 797;0,0079;
октябрь 2020;840 910;0,0078;
ноябрь 2020;930 576;0,0081;
декабрь 2020;825 584;0,0074;
январь 2021;850 970;0,0081;
февраль 2021;786 316;0,0078;
март 2021;843 500;0,0077;
апрель 2021;810 596;0,0075;
май 2021;762 429;0,0073;
июнь 2021;853 139;0,0085;
июль 2021;888 144;0,0091;
август 2021;940 045;0,0093;
сентябрь 2021;865 418;0,0080;
октябрь 2021;857 047;0,0075;
ноябрь 2021;940 744;0,0081;
декабрь 2021;855 248;0,0072;
январь 2022;897 484;0,0075;
февраль 2022;833 291;0,0070;
март 2022;910 320;0,0071;
апрель 2022;815 592;0,0068;
май 2022;788 861;0,0066;
июнь 2022;768 911;0,0071;
июль 2022;797 754;0,0076;
август 2022;812 227;0,0075;
сентябрь 2022;707 090;0,0060;
октябрь 2022;737 952;0,0059;
ноябрь 2022;828 099;0,0065;
декабрь 2022;718 784;0,0057;
январь 2023;760 816;0,0061;
февраль 2023;759 252;0,0066;
март 2023;835 966;0,0067;
апрель 2023;693 232;0,0060;
май 2023;683 468;0,0060;
июнь 2023;710 150;0,0069;
июль 2023;788 706;0,0078;
август 2023;750 615;0,0074;
сентябрь 2023;708 713;0,0065;
октябрь 2023;812 942;0,0068;
ноябрь 2023;840 426;0,0071;
декабрь 2023;702 810;0,0058;
январь 2024;749 724;0,0062;
февраль 2024;760 702;0,0067;
март 2024;759 607;0,0065;
апрель 2024;687 130;0,0063;
май 2024;679 452;0,0063;
июнь 2024;635 883;0,0068;
июль 2024;699 316;0,0075;
август 2024;693 308;0,0074;
сентябрь 2024;646 596;0,0065;
октябрь 2024;752 232;0,0067;
ноябрь 2024;802 191;0,0069;
декабрь 2024;746 059;0,0062;
январь 2025;818 233;0,0068;
февраль 2025;789 160;0,0069;
март 2025;779 297;0,0065;
апрель 2025;696 398;0,0061;
май 2025;671 074;0,0062;
июнь 2025;750 395;0,0071;
