Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стаканы для зубных щеток», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 994;0,000025;
февраль 2018;1 846;0,000023;
март 2018;2 016;0,000023;
апрель 2018;1 499;0,000019;
май 2018;1 483;0,000019;
июнь 2018;1 470;0,000021;
июль 2018;1 630;0,000023;
август 2018;1 839;0,000026;
сентябрь 2018;1 903;0,000024;
октябрь 2018;2 271;0,000024;
ноябрь 2018;2 076;0,000024;
декабрь 2018;1 936;0,000022;
январь 2019;1 983;0,000022;
февраль 2019;1 811;0,000021;
март 2019;2 002;0,000022;
апрель 2019;1 546;0,000018;
май 2019;1 464;0,000018;
июнь 2019;1 621;0,000022;
июль 2019;2 056;0,000027;
август 2019;1 965;0,000027;
сентябрь 2019;2 635;0,000033;
октябрь 2019;2 091;0,000023;
ноябрь 2019;2 380;0,000026;
декабрь 2019;2 496;0,000026;
январь 2020;2 205;0,000022;
февраль 2020;2 301;0,000025;
март 2020;2 222;0,000022;
апрель 2020;2 227;0,000018;
май 2020;2 393;0,000022;
июнь 2020;2 444;0,000027;
июль 2020;2 578;0,000030;
август 2020;2 869;0,000034;
сентябрь 2020;2 991;0,000031;
октябрь 2020;3 432;0,000031;
ноябрь 2020;3 972;0,000034;
декабрь 2020;3 582;0,000032;
январь 2021;3 402;0,000032;
февраль 2021;3 254;0,000032;
март 2021;3 607;0,000033;
апрель 2021;3 279;0,000030;
май 2021;3 061;0,000029;
июнь 2021;3 028;0,000030;
июль 2021;3 793;0,000039;
август 2021;4 477;0,000044;
сентябрь 2021;3 955;0,000036;
октябрь 2021;3 908;0,000034;
ноябрь 2021;4 157;0,000035;
декабрь 2021;3 846;0,000032;
январь 2022;4 177;0,000035;
февраль 2022;3 863;0,000032;
март 2022;4 345;0,000034;
апрель 2022;3 997;0,000033;
май 2022;3 872;0,000032;
июнь 2022;3 048;0,000028;
июль 2022;3 728;0,000035;
август 2022;3 964;0,000036;
сентябрь 2022;3 785;0,000032;
октябрь 2022;4 318;0,000034;
ноябрь 2022;4 716;0,000037;
декабрь 2022;3 773;0,000029;
январь 2023;4 217;0,000034;
февраль 2023;3 726;0,000032;
март 2023;3 974;0,000031;
апрель 2023;4 378;0,000037;
май 2023;3 630;0,000032;
июнь 2023;3 299;0,000032;
июль 2023;4 927;0,000048;
август 2023;5 034;0,000050;
сентябрь 2023;4 113;0,000038;
октябрь 2023;4 832;0,000040;
ноябрь 2023;4 773;0,000040;
декабрь 2023;5 243;0,000043;
январь 2024;4 889;0,000040;
февраль 2024;4 411;0,000039;
март 2024;4 122;0,000035;
апрель 2024;4 066;0,000037;
май 2024;3 946;0,000037;
июнь 2024;3 321;0,000035;
июль 2024;3 757;0,000040;
август 2024;3 788;0,000040;
сентябрь 2024;3 621;0,000036;
октябрь 2024;3 857;0,000034;
ноябрь 2024;4 371;0,000037;
декабрь 2024;4 266;0,000035;
январь 2025;4 356;0,000036;
февраль 2025;3 915;0,000034;
март 2025;3 805;0,000031;
апрель 2025;3 271;0,000028;
май 2025;3 403;0,000031;
июнь 2025;3 452;0,000032;
