Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Струбцины», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;85 190;0,00109;
февраль 2018;87 459;0,00112;
март 2018;92 351;0,00109;
апрель 2018;79 184;0,00104;
май 2018;71 577;0,00095;
июнь 2018;69 768;0,00100;
июль 2018;69 154;0,00098;
август 2018;75 521;0,00106;
сентябрь 2018;78 558;0,00099;
октябрь 2018;97 344;0,00105;
ноябрь 2018;90 812;0,00106;
декабрь 2018;84 489;0,00098;
январь 2019;91 424;0,00103;
февраль 2019;102 133;0,00121;
март 2019;101 114;0,00115;
апрель 2019;92 405;0,00111;
май 2019;79 310;0,00100;
июнь 2019;72 550;0,00100;
июль 2019;84 207;0,00114;
август 2019;82 377;0,00113;
сентябрь 2019;84 486;0,00107;
октябрь 2019;105 050;0,00118;
ноябрь 2019;108 452;0,00122;
декабрь 2019;109 854;0,00118;
январь 2020;114 623;0,00117;
февраль 2020;122 285;0,00133;
март 2020;106 664;0,00108;
апрель 2020;98 662;0,00082;
май 2020;108 514;0,00101;
июнь 2020;106 596;0,00119;
июль 2020;102 347;0,00121;
август 2020;100 228;0,00119;
сентябрь 2020;104 189;0,00109;
октябрь 2020;130 546;0,00121;
ноябрь 2020;132 892;0,00115;
декабрь 2020;127 354;0,00115;
январь 2021;119 279;0,00114;
февраль 2021;123 751;0,00123;
март 2021;135 817;0,00124;
апрель 2021;125 999;0,00116;
май 2021;109 706;0,00106;
июнь 2021;111 827;0,00112;
июль 2021;111 045;0,00114;
август 2021;131 796;0,00131;
сентябрь 2021;126 583;0,00118;
октябрь 2021;131 882;0,00115;
ноябрь 2021;140 900;0,00121;
декабрь 2021;134 988;0,00113;
январь 2022;138 881;0,00116;
февраль 2022;139 876;0,00118;
март 2022;134 927;0,00105;
апрель 2022;134 389;0,00112;
май 2022;123 271;0,00103;
июнь 2022;118 097;0,00110;
июль 2022;115 845;0,00111;
август 2022;131 008;0,00121;
сентябрь 2022;119 324;0,00102;
октябрь 2022;127 071;0,00102;
ноябрь 2022;139 298;0,00110;
декабрь 2022;128 266;0,00101;
январь 2023;131 999;0,00107;
февраль 2023;139 827;0,00122;
март 2023;156 484;0,00125;
апрель 2023;131 351;0,00113;
май 2023;126 368;0,00111;
июнь 2023;122 615;0,00119;
июль 2023;120 062;0,00119;
август 2023;127 890;0,00127;
сентябрь 2023;126 410;0,00117;
октябрь 2023;147 646;0,00123;
ноябрь 2023;150 429;0,00128;
декабрь 2023;137 384;0,00115;
январь 2024;137 058;0,00113;
февраль 2024;154 141;0,00137;
март 2024;148 123;0,00128;
апрель 2024;138 359;0,00127;
май 2024;134 513;0,00126;
июнь 2024;113 767;0,00121;
июль 2024;121 175;0,00130;
август 2024;115 714;0,00123;
сентябрь 2024;120 614;0,00121;
октябрь 2024;137 653;0,00122;
ноябрь 2024;142 386;0,00122;
декабрь 2024;134 399;0,00112;
январь 2025;135 068;0,00113;
февраль 2025;149 811;0,00131;
март 2025;144 258;0,00120;
апрель 2025;133 274;0,00116;
май 2025;123 396;0,00115;
июнь 2025;125 059;0,00118;
