Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фильтры для питьевой воды», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 566;0,000084;
февраль 2018;6 521;0,000084;
март 2018;7 905;0,000094;
апрель 2018;6 542;0,000086;
май 2018;6 178;0,000082;
июнь 2018;6 168;0,000088;
июль 2018;6 319;0,000090;
август 2018;7 330;0,000103;
сентябрь 2018;7 138;0,000090;
октябрь 2018;9 212;0,000099;
ноябрь 2018;7 877;0,000092;
декабрь 2018;8 868;0,000103;
январь 2019;9 037;0,000102;
февраль 2019;9 294;0,000110;
март 2019;10 262;0,000116;
апрель 2019;10 322;0,000124;
май 2019;8 746;0,000110;
июнь 2019;8 394;0,000115;
июль 2019;9 235;0,000125;
август 2019;9 331;0,000128;
сентябрь 2019;10 373;0,000131;
октябрь 2019;11 942;0,000134;
ноябрь 2019;12 629;0,000142;
декабрь 2019;17 741;0,000191;
январь 2020;18 625;0,000191;
февраль 2020;14 759;0,000160;
март 2020;14 102;0,000143;
апрель 2020;13 364;0,000111;
май 2020;14 415;0,000134;
июнь 2020;13 820;0,000154;
июль 2020;14 776;0,000175;
август 2020;14 758;0,000175;
сентябрь 2020;14 914;0,000157;
октябрь 2020;18 690;0,000173;
ноябрь 2020;20 111;0,000175;
декабрь 2020;20 147;0,000182;
январь 2021;21 275;0,000203;
февраль 2021;20 644;0,000206;
март 2021;20 705;0,000190;
апрель 2021;18 376;0,000170;
май 2021;17 222;0,000166;
июнь 2021;17 887;0,000180;
июль 2021;19 527;0,000201;
август 2021;21 784;0,000217;
сентябрь 2021;22 159;0,000206;
октябрь 2021;23 512;0,000206;
ноябрь 2021;26 968;0,000232;
декабрь 2021;25 457;0,000214;
январь 2022;27 933;0,000234;
февраль 2022;25 215;0,000213;
март 2022;30 829;0,000241;
апрель 2022;23 264;0,000194;
май 2022;20 511;0,000171;
июнь 2022;17 035;0,000158;
июль 2022;18 019;0,000172;
август 2022;19 630;0,000182;
сентябрь 2022;17 771;0,000152;
октябрь 2022;18 533;0,000149;
ноябрь 2022;20 178;0,000159;
декабрь 2022;19 064;0,000151;
январь 2023;20 236;0,000164;
февраль 2023;19 383;0,000169;
март 2023;21 701;0,000174;
апрель 2023;17 585;0,000152;
май 2023;16 521;0,000146;
июнь 2023;17 318;0,000168;
июль 2023;18 191;0,000180;
август 2023;20 171;0,000200;
сентябрь 2023;20 615;0,000191;
октябрь 2023;25 192;0,000211;
ноябрь 2023;24 269;0,000206;
декабрь 2023;20 987;0,000175;
январь 2024;23 581;0,000195;
февраль 2024;24 291;0,000216;
март 2024;22 885;0,000198;
апрель 2024;19 553;0,000180;
май 2024;18 951;0,000177;
июнь 2024;16 851;0,000180;
июль 2024;18 747;0,000201;
август 2024;18 404;0,000196;
сентябрь 2024;18 264;0,000183;
октябрь 2024;20 988;0,000186;
ноябрь 2024;23 734;0,000204;
декабрь 2024;22 626;0,000188;
январь 2025;24 766;0,000208;
февраль 2025;24 310;0,000213;
март 2025;23 930;0,000199;
апрель 2025;20 451;0,000179;
май 2025;18 988;0,000177;
июнь 2025;19 554;0,000185;
