Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Детекторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;434 517;0,0055;
февраль 2018;363 027;0,0046;
март 2018;339 270;0,0040;
апрель 2018;314 938;0,0041;
май 2018;315 850;0,0042;
июнь 2018;343 611;0,0049;
июль 2018;363 430;0,0051;
август 2018;382 205;0,0054;
сентябрь 2018;367 435;0,0046;
октябрь 2018;411 142;0,0044;
ноябрь 2018;347 552;0,0040;
декабрь 2018;331 857;0,0038;
январь 2019;394 023;0,0044;
февраль 2019;353 900;0,0042;
март 2019;355 006;0,0040;
апрель 2019;358 208;0,0043;
май 2019;310 736;0,0039;
июнь 2019;315 689;0,0043;
июль 2019;336 229;0,0045;
август 2019;305 812;0,0042;
сентябрь 2019;270 856;0,0034;
октябрь 2019;286 846;0,0032;
ноябрь 2019;291 921;0,0032;
декабрь 2019;325 491;0,0035;
январь 2020;325 823;0,0033;
февраль 2020;325 440;0,0035;
март 2020;320 807;0,0032;
апрель 2020;273 840;0,0022;
май 2020;295 434;0,0027;
июнь 2020;309 569;0,0034;
июль 2020;330 517;0,0039;
август 2020;325 371;0,0038;
сентябрь 2020;302 212;0,0031;
октябрь 2020;319 348;0,0029;
ноябрь 2020;357 632;0,0031;
декабрь 2020;374 804;0,0033;
январь 2021;340 137;0,0032;
февраль 2021;319 154;0,0031;
март 2021;364 253;0,0033;
апрель 2021;369 746;0,0034;
май 2021;350 284;0,0033;
июнь 2021;364 268;0,0036;
июль 2021;343 204;0,0035;
август 2021;378 306;0,0037;
сентябрь 2021;351 286;0,0032;
октябрь 2021;346 781;0,0030;
ноябрь 2021;367 014;0,0031;
декабрь 2021;383 502;0,0032;
январь 2022;361 747;0,0030;
февраль 2022;525 485;0,0044;
март 2022;434 299;0,0034;
апрель 2022;389 334;0,0032;
май 2022;360 298;0,0030;
июнь 2022;341 607;0,0031;
июль 2022;372 569;0,0035;
август 2022;352 787;0,0032;
сентябрь 2022;295 977;0,0025;
октябрь 2022;315 530;0,0025;
ноябрь 2022;342 479;0,0027;
декабрь 2022;346 507;0,0027;
январь 2023;334 242;0,0027;
февраль 2023;331 120;0,0029;
март 2023;407 749;0,0032;
апрель 2023;361 312;0,0031;
май 2023;356 343;0,0031;
июнь 2023;348 538;0,0033;
июль 2023;365 986;0,0036;
август 2023;337 351;0,0033;
сентябрь 2023;317 669;0,0029;
октябрь 2023;379 927;0,0031;
ноябрь 2023;383 613;0,0032;
декабрь 2023;344 142;0,0028;
январь 2024;352 923;0,0029;
февраль 2024;388 542;0,0034;
март 2024;370 673;0,0032;
апрель 2024;348 887;0,0032;
май 2024;342 297;0,0032;
июнь 2024;303 407;0,0032;
июль 2024;318 537;0,0034;
август 2024;314 045;0,0033;
сентябрь 2024;288 874;0,0029;
октябрь 2024;384 815;0,0034;
ноябрь 2024;397 326;0,0034;
декабрь 2024;435 870;0,0036;
январь 2025;405 553;0,0034;
февраль 2025;406 273;0,0035;
март 2025;421 790;0,0035;
апрель 2025;387 925;0,0034;
май 2025;376 280;0,0035;
июнь 2025;390 046;0,0036;
