Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Изоляция огнезащитная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;254;0,0000032;
февраль 2018;370;0,0000047;
март 2018;271;0,0000032;
апрель 2018;395;0,0000052;
май 2018;348;0,0000046;
июнь 2018;322;0,0000046;
июль 2018;281;0,0000040;
август 2018;318;0,0000045;
сентябрь 2018;339;0,0000042;
октябрь 2018;468;0,0000050;
ноябрь 2018;352;0,0000041;
декабрь 2018;356;0,0000041;
январь 2019;296;0,0000033;
февраль 2019;369;0,0000044;
март 2019;402;0,0000045;
апрель 2019;348;0,0000042;
май 2019;336;0,0000042;
июнь 2019;355;0,0000048;
июль 2019;337;0,0000045;
август 2019;394;0,0000054;
сентябрь 2019;352;0,0000044;
октябрь 2019;408;0,0000046;
ноябрь 2019;383;0,0000043;
декабрь 2019;313;0,0000033;
январь 2020;349;0,0000035;
февраль 2020;423;0,0000046;
март 2020;407;0,0000041;
апрель 2020;460;0,0000038;
май 2020;355;0,0000033;
июнь 2020;401;0,0000044;
июль 2020;463;0,0000054;
август 2020;415;0,0000049;
сентябрь 2020;475;0,0000050;
октябрь 2020;413;0,0000038;
ноябрь 2020;461;0,0000040;
декабрь 2020;437;0,0000039;
январь 2021;321;0,0000030;
февраль 2021;399;0,0000039;
март 2021;403;0,0000037;
апрель 2021;474;0,0000043;
май 2021;385;0,0000037;
июнь 2021;420;0,0000042;
июль 2021;456;0,0000047;
август 2021;363;0,0000036;
сентябрь 2021;375;0,0000035;
октябрь 2021;370;0,0000032;
ноябрь 2021;490;0,0000042;
декабрь 2021;541;0,0000045;
январь 2022;400;0,0000033;
февраль 2022;467;0,0000039;
март 2022;467;0,0000036;
апрель 2022;510;0,0000042;
май 2022;454;0,0000038;
июнь 2022;497;0,0000046;
июль 2022;464;0,0000044;
август 2022;589;0,0000054;
сентябрь 2022;514;0,0000043;
октябрь 2022;476;0,0000038;
ноябрь 2022;568;0,0000045;
декабрь 2022;501;0,0000039;
январь 2023;371;0,0000030;
февраль 2023;511;0,0000044;
март 2023;616;0,0000049;
апрель 2023;567;0,0000049;
май 2023;508;0,0000044;
июнь 2023;436;0,0000042;
июль 2023;543;0,0000053;
август 2023;455;0,0000045;
сентябрь 2023;511;0,0000047;
октябрь 2023;494;0,0000041;
ноябрь 2023;604;0,0000051;
декабрь 2023;519;0,0000043;
январь 2024;483;0,0000040;
февраль 2024;597;0,0000053;
март 2024;636;0,0000055;
апрель 2024;602;0,0000055;
май 2024;535;0,0000050;
июнь 2024;545;0,0000058;
июль 2024;586;0,0000062;
август 2024;534;0,0000057;
сентябрь 2024;564;0,0000056;
октябрь 2024;589;0,0000052;
ноябрь 2024;548;0,0000047;
декабрь 2024;573;0,0000047;
январь 2025;475;0,0000040;
февраль 2025;636;0,0000055;
март 2025;691;0,0000057;
апрель 2025;792;0,0000069;
май 2025;651;0,0000060;
июнь 2025;637;0,0000060;
