Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти для душевых кабин», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 364;0,000069;
февраль 2018;4 985;0,000064;
март 2018;5 863;0,000069;
апрель 2018;4 720;0,000062;
май 2018;5 685;0,000075;
июнь 2018;5 752;0,000082;
июль 2018;6 590;0,000094;
август 2018;5 893;0,000083;
сентябрь 2018;5 539;0,000069;
октябрь 2018;6 036;0,000065;
ноябрь 2018;5 479;0,000064;
декабрь 2018;4 801;0,000056;
январь 2019;5 341;0,000060;
февраль 2019;4 727;0,000056;
март 2019;4 674;0,000053;
апрель 2019;4 293;0,000051;
май 2019;5 025;0,000063;
июнь 2019;4 728;0,000065;
июль 2019;4 753;0,000064;
август 2019;4 539;0,000062;
сентябрь 2019;4 299;0,000054;
октябрь 2019;4 522;0,000051;
ноябрь 2019;4 637;0,000052;
декабрь 2019;4 611;0,000049;
январь 2020;5 220;0,000053;
февраль 2020;4 434;0,000048;
март 2020;4 199;0,000042;
апрель 2020;3 624;0,000030;
май 2020;4 928;0,000045;
июнь 2020;5 184;0,000058;
июль 2020;4 965;0,000058;
август 2020;4 739;0,000056;
сентябрь 2020;4 325;0,000045;
октябрь 2020;4 672;0,000043;
ноябрь 2020;4 876;0,000042;
декабрь 2020;4 854;0,000043;
январь 2021;5 015;0,000048;
февраль 2021;4 108;0,000041;
март 2021;4 640;0,000042;
апрель 2021;4 692;0,000043;
май 2021;5 554;0,000053;
июнь 2021;5 371;0,000054;
июль 2021;5 903;0,000060;
август 2021;5 547;0,000055;
сентябрь 2021;4 750;0,000044;
октябрь 2021;4 547;0,000039;
ноябрь 2021;4 589;0,000039;
декабрь 2021;4 546;0,000038;
январь 2022;5 016;0,000042;
февраль 2022;4 198;0,000035;
март 2022;4 958;0,000038;
апрель 2022;5 014;0,000041;
май 2022;5 131;0,000043;
июнь 2022;4 592;0,000042;
июль 2022;4 632;0,000044;
август 2022;4 710;0,000043;
сентябрь 2022;3 859;0,000033;
октябрь 2022;3 752;0,000030;
ноябрь 2022;3 696;0,000029;
декабрь 2022;3 359;0,000026;
январь 2023;3 646;0,000029;
февраль 2023;2 948;0,000025;
март 2023;3 130;0,000025;
апрель 2023;3 024;0,000026;
май 2023;3 616;0,000031;
июнь 2023;3 391;0,000033;
июль 2023;3 353;0,000033;
август 2023;3 276;0,000032;
сентябрь 2023;2 797;0,000026;
октябрь 2023;3 070;0,000025;
ноябрь 2023;2 893;0,000024;
декабрь 2023;2 712;0,000022;
январь 2024;2 913;0,000024;
февраль 2024;2 580;0,000022;
март 2024;2 639;0,000022;
апрель 2024;2 560;0,000023;
май 2024;2 941;0,000027;
июнь 2024;2 593;0,000027;
июль 2024;2 794;0,000030;
август 2024;2 579;0,000027;
сентябрь 2024;2 293;0,000023;
октябрь 2024;2 468;0,000021;
ноябрь 2024;2 272;0,000019;
декабрь 2024;2 372;0,000019;
январь 2025;2 318;0,000019;
февраль 2025;2 343;0,000020;
март 2025;2 236;0,000018;
апрель 2025;2 314;0,000020;
май 2025;2 250;0,000021;
июнь 2025;2 486;0,000023;
