Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сковороды и сотейники», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;528;0,0000067;
февраль 2018;482;0,0000062;
март 2018;488;0,0000058;
апрель 2018;315;0,0000041;
май 2018;298;0,0000039;
июнь 2018;318;0,0000045;
июль 2018;412;0,0000058;
август 2018;488;0,0000069;
сентябрь 2018;587;0,0000074;
октябрь 2018;729;0,0000079;
ноябрь 2018;621;0,0000073;
декабрь 2018;595;0,0000069;
январь 2019;567;0,0000064;
февраль 2019;637;0,0000075;
март 2019;615;0,0000070;
апрель 2019;401;0,0000048;
май 2019;382;0,0000048;
июнь 2019;424;0,0000058;
июль 2019;592;0,0000080;
август 2019;606;0,0000083;
сентябрь 2019;572;0,0000072;
октябрь 2019;527;0,0000059;
ноябрь 2019;593;0,0000066;
декабрь 2019;635;0,0000068;
январь 2020;585;0,0000060;
февраль 2020;557;0,0000060;
март 2020;507;0,0000051;
апрель 2020;407;0,0000034;
май 2020;476;0,0000044;
июнь 2020;419;0,0000046;
июль 2020;369;0,0000043;
август 2020;422;0,0000050;
сентябрь 2020;425;0,0000044;
октябрь 2020;515;0,0000047;
ноябрь 2020;498;0,0000043;
декабрь 2020;566;0,0000051;
январь 2021;431;0,0000041;
февраль 2021;378;0,0000037;
март 2021;348;0,0000031;
апрель 2021;288;0,0000026;
май 2021;255;0,0000024;
июнь 2021;263;0,0000026;
июль 2021;398;0,0000041;
август 2021;410;0,0000040;
сентябрь 2021;632;0,0000058;
октябрь 2021;412;0,0000036;
ноябрь 2021;502;0,0000043;
декабрь 2021;475;0,0000040;
январь 2022;441;0,0000036;
февраль 2022;458;0,0000038;
март 2022;404;0,0000031;
апрель 2022;365;0,0000030;
май 2022;335;0,0000028;
июнь 2022;242;0,0000022;
июль 2022;352;0,0000033;
август 2022;319;0,0000029;
сентябрь 2022;362;0,0000030;
октябрь 2022;371;0,0000029;
ноябрь 2022;394;0,0000031;
декабрь 2022;465;0,0000036;
январь 2023;328;0,0000026;
февраль 2023;434;0,0000038;
март 2023;304;0,0000024;
апрель 2023;237;0,0000020;
май 2023;244;0,0000021;
июнь 2023;224;0,0000021;
июль 2023;476;0,0000047;
август 2023;294;0,0000029;
сентябрь 2023;288;0,0000026;
октябрь 2023;370;0,0000031;
ноябрь 2023;442;0,0000037;
декабрь 2023;463;0,0000038;
январь 2024;443;0,0000036;
февраль 2024;358;0,0000031;
март 2024;361;0,0000031;
апрель 2024;276;0,0000025;
май 2024;351;0,0000032;
июнь 2024;341;0,0000036;
июль 2024;292;0,0000031;
август 2024;281;0,0000030;
сентябрь 2024;332;0,0000033;
октябрь 2024;443;0,0000039;
ноябрь 2024;440;0,0000037;
декабрь 2024;455;0,0000037;
январь 2025;534;0,0000044;
февраль 2025;516;0,0000045;
март 2025;334;0,0000027;
апрель 2025;279;0,0000024;
май 2025;427;0,0000039;
июнь 2025;377;0,0000035;
