Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Алюминиевые радиаторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;67 512;0,00086;
февраль 2018;61 905;0,00079;
март 2018;62 156;0,00073;
апрель 2018;51 777;0,00068;
май 2018;53 967;0,00071;
июнь 2018;59 077;0,00085;
июль 2018;63 496;0,00090;
август 2018;77 113;0,00109;
сентябрь 2018;88 672;0,00111;
октябрь 2018;92 113;0,00099;
ноябрь 2018;84 899;0,00099;
декабрь 2018;73 557;0,00086;
январь 2019;65 958;0,00074;
февраль 2019;60 650;0,00072;
март 2019;55 160;0,00062;
апрель 2019;52 430;0,00063;
май 2019;55 434;0,00070;
июнь 2019;56 113;0,00077;
июль 2019;66 386;0,00090;
август 2019;71 332;0,00098;
сентябрь 2019;87 478;0,00111;
октябрь 2019;78 369;0,00088;
ноябрь 2019;85 889;0,00096;
декабрь 2019;67 711;0,00072;
январь 2020;65 000;0,00066;
февраль 2020;59 510;0,00064;
март 2020;59 153;0,00060;
апрель 2020;48 288;0,00040;
май 2020;58 408;0,00054;
июнь 2020;62 856;0,00070;
июль 2020;68 040;0,00080;
август 2020;78 708;0,00093;
сентябрь 2020;90 559;0,00095;
октябрь 2020;88 500;0,00082;
ноябрь 2020;95 815;0,00083;
декабрь 2020;95 272;0,00086;
январь 2021;87 598;0,00083;
февраль 2021;78 779;0,00078;
март 2021;74 665;0,00068;
апрель 2021;68 424;0,00063;
май 2021;67 111;0,00065;
июнь 2021;75 804;0,00076;
июль 2021;81 744;0,00084;
август 2021;102 260;0,00101;
сентябрь 2021;128 225;0,00119;
октябрь 2021;98 789;0,00086;
ноябрь 2021;102 642;0,00088;
декабрь 2021;102 091;0,00086;
январь 2022;91 257;0,00076;
февраль 2022;73 218;0,00061;
март 2022;95 201;0,00074;
апрель 2022;73 251;0,00061;
май 2022;71 211;0,00059;
июнь 2022;73 251;0,00068;
июль 2022;76 647;0,00073;
август 2022;87 960;0,00081;
сентябрь 2022;104 345;0,00089;
октябрь 2022;87 299;0,00070;
ноябрь 2022;105 760;0,00083;
декабрь 2022;94 933;0,00075;
январь 2023;88 675;0,00071;
февраль 2023;68 663;0,00060;
март 2023;65 408;0,00052;
апрель 2023;57 108;0,00049;
май 2023;61 061;0,00053;
июнь 2023;65 246;0,00063;
июль 2023;70 796;0,00070;
август 2023;82 293;0,00081;
сентябрь 2023;90 896;0,00084;
октябрь 2023;104 123;0,00087;
ноябрь 2023;93 704;0,00079;
декабрь 2023;95 238;0,00079;
январь 2024;92 378;0,00076;
февраль 2024;69 897;0,00062;
март 2024;60 944;0,00052;
апрель 2024;55 007;0,00050;
май 2024;59 879;0,00056;
июнь 2024;57 785;0,00061;
июль 2024;65 249;0,00070;
август 2024;72 653;0,00077;
сентябрь 2024;80 514;0,00081;
октябрь 2024;90 693;0,00080;
ноябрь 2024;83 355;0,00071;
декабрь 2024;74 506;0,00062;
январь 2025;61 579;0,00051;
февраль 2025;61 291;0,00053;
март 2025;52 988;0,00044;
апрель 2025;47 646;0,00041;
май 2025;47 286;0,00044;
июнь 2025;54 968;0,00052;
