Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Орешницы, вафельницы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;37 723;0,00048;
февраль 2018;33 354;0,00043;
март 2018;33 931;0,00040;
апрель 2018;21 469;0,00028;
май 2018;18 701;0,00024;
июнь 2018;17 292;0,00024;
июль 2018;16 960;0,00024;
август 2018;17 865;0,00025;
сентябрь 2018;21 770;0,00027;
октябрь 2018;27 537;0,00029;
ноябрь 2018;30 519;0,00035;
декабрь 2018;38 317;0,00044;
январь 2019;40 707;0,00046;
февраль 2019;38 725;0,00046;
март 2019;34 210;0,00038;
апрель 2019;25 261;0,00030;
май 2019;22 459;0,00028;
июнь 2019;19 519;0,00026;
июль 2019;23 266;0,00031;
август 2019;25 805;0,00035;
сентябрь 2019;25 313;0,00032;
октябрь 2019;31 729;0,00035;
ноябрь 2019;37 028;0,00041;
декабрь 2019;43 938;0,00047;
январь 2020;45 444;0,00046;
февраль 2020;43 187;0,00046;
март 2020;41 322;0,00042;
апрель 2020;60 625;0,00050;
май 2020;51 009;0,00047;
июнь 2020;30 322;0,00033;
июль 2020;25 155;0,00029;
август 2020;26 324;0,00031;
сентябрь 2020;26 617;0,00028;
октябрь 2020;37 039;0,00034;
ноябрь 2020;45 599;0,00039;
декабрь 2020;54 859;0,00049;
январь 2021;56 317;0,00053;
февраль 2021;48 808;0,00048;
март 2021;43 980;0,00040;
апрель 2021;33 035;0,00030;
май 2021;26 132;0,00025;
июнь 2021;24 299;0,00024;
июль 2021;24 965;0,00025;
август 2021;27 948;0,00027;
сентябрь 2021;32 239;0,00030;
октябрь 2021;41 172;0,00036;
ноябрь 2021;51 135;0,00044;
декабрь 2021;58 318;0,00049;
январь 2022;60 362;0,00050;
февраль 2022;53 884;0,00045;
март 2022;51 766;0,00040;
апрель 2022;46 622;0,00039;
май 2022;43 432;0,00036;
июнь 2022;31 556;0,00029;
июль 2022;32 413;0,00031;
август 2022;31 194;0,00028;
сентябрь 2022;34 805;0,00029;
октябрь 2022;46 458;0,00037;
ноябрь 2022;53 211;0,00042;
декабрь 2022;61 728;0,00049;
январь 2023;57 929;0,00046;
февраль 2023;48 826;0,00042;
март 2023;45 530;0,00036;
апрель 2023;32 245;0,00027;
май 2023;26 719;0,00023;
июнь 2023;24 073;0,00023;
июль 2023;24 093;0,00023;
август 2023;23 428;0,00023;
сентябрь 2023;26 732;0,00024;
октябрь 2023;39 276;0,00032;
ноябрь 2023;42 829;0,00036;
декабрь 2023;57 791;0,00048;
январь 2024;58 552;0,00048;
февраль 2024;49 883;0,00044;
март 2024;47 079;0,00040;
апрель 2024;31 790;0,00029;
май 2024;28 666;0,00026;
июнь 2024;21 307;0,00022;
июль 2024;22 159;0,00023;
август 2024;24 223;0,00025;
сентябрь 2024;28 234;0,00028;
октябрь 2024;40 653;0,00036;
ноябрь 2024;54 032;0,00046;
декабрь 2024;68 915;0,00057;
январь 2025;72 278;0,00060;
февраль 2025;62 676;0,00054;
март 2025;53 386;0,00044;
апрель 2025;33 263;0,00029;
май 2025;31 138;0,00029;
июнь 2025;29 239;0,00027;
