Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для сервировки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;188;0,00000242;
февраль 2018;187;0,00000241;
март 2018;123;0,00000146;
апрель 2018;163;0,00000215;
май 2018;161;0,00000214;
июнь 2018;183;0,00000263;
июль 2018;160;0,00000228;
август 2018;124;0,00000175;
сентябрь 2018;111;0,00000140;
октябрь 2018;168;0,00000182;
ноябрь 2018;113;0,00000132;
декабрь 2018;121;0,00000141;
январь 2019;117;0,00000132;
февраль 2019;104;0,00000124;
март 2019;69;0,00000078;
апрель 2019;55;0,00000066;
май 2019;72;0,00000091;
июнь 2019;81;0,00000111;
июль 2019;61;0,00000082;
август 2019;49;0,00000067;
сентябрь 2019;80;0,00000101;
октябрь 2019;116;0,00000131;
ноябрь 2019;136;0,00000153;
декабрь 2019;144;0,00000155;
январь 2020;95;0,00000097;
февраль 2020;90;0,00000097;
март 2020;76;0,00000077;
апрель 2020;90;0,00000075;
май 2020;76;0,00000070;
июнь 2020;82;0,00000091;
июль 2020;80;0,00000094;
август 2020;97;0,00000115;
сентябрь 2020;80;0,00000084;
октябрь 2020;103;0,00000095;
ноябрь 2020;119;0,00000103;
декабрь 2020;160;0,00000144;
январь 2021;104;0,00000099;
февраль 2021;95;0,00000095;
март 2021;102;0,00000093;
апрель 2021;134;0,00000124;
май 2021;90;0,00000087;
июнь 2021;51;0,00000051;
июль 2021;95;0,00000097;
август 2021;66;0,00000065;
сентябрь 2021;91;0,00000084;
октябрь 2021;107;0,00000094;
ноябрь 2021;130;0,00000112;
декабрь 2021;127;0,00000107;
январь 2022;112;0,00000093;
февраль 2022;107;0,00000090;
март 2022;75;0,00000058;
апрель 2022;106;0,00000088;
май 2022;122;0,00000102;
июнь 2022;103;0,00000096;
июль 2022;137;0,00000131;
август 2022;62;0,00000057;
сентябрь 2022;97;0,00000082;
октябрь 2022;74;0,00000059;
ноябрь 2022;122;0,00000096;
декабрь 2022;175;0,00000139;
январь 2023;70;0,00000056;
февраль 2023;81;0,00000070;
март 2023;72;0,00000057;
апрель 2023;41;0,00000035;
май 2023;61;0,00000053;
июнь 2023;81;0,00000079;
июль 2023;49;0,00000048;
август 2023;62;0,00000061;
сентябрь 2023;70;0,00000065;
октябрь 2023;101;0,00000084;
ноябрь 2023;99;0,00000084;
декабрь 2023;111;0,00000092;
январь 2024;75;0,00000062;
февраль 2024;69;0,00000061;
март 2024;45;0,00000039;
апрель 2024;47;0,00000043;
май 2024;91;0,00000085;
июнь 2024;67;0,00000071;
июль 2024;70;0,00000075;
август 2024;45;0,00000048;
сентябрь 2024;54;0,00000054;
октябрь 2024;86;0,00000076;
ноябрь 2024;118;0,00000101;
декабрь 2024;171;0,00000142;
январь 2025;96;0,00000080;
февраль 2025;91;0,00000079;
март 2025;66;0,00000055;
апрель 2025;54;0,00000047;
май 2025;53;0,00000049;
июнь 2025;53;0,00000050;
