Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мобильная телефония», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;783;0,0000100;
февраль 2018;856;0,0000110;
март 2018;1 223;0,0000145;
апрель 2018;1 328;0,0000175;
май 2018;1 211;0,0000161;
июнь 2018;650;0,0000093;
июль 2018;831;0,0000118;
август 2018;821;0,0000116;
сентябрь 2018;976;0,0000123;
октябрь 2018;980;0,0000106;
ноябрь 2018;989;0,0000116;
декабрь 2018;1 134;0,0000132;
январь 2019;1 092;0,0000124;
февраль 2019;1 295;0,0000154;
март 2019;1 043;0,0000118;
апрель 2019;1 561;0,0000188;
май 2019;1 265;0,0000159;
июнь 2019;1 011;0,0000139;
июль 2019;912;0,0000124;
август 2019;890;0,0000122;
сентябрь 2019;1 059;0,0000134;
октябрь 2019;1 348;0,0000152;
ноябрь 2019;1 254;0,0000141;
декабрь 2019;1 368;0,0000147;
январь 2020;1 519;0,0000156;
февраль 2020;1 340;0,0000145;
март 2020;1 353;0,0000137;
апрель 2020;3 039;0,0000254;
май 2020;2 305;0,0000214;
июнь 2020;1 598;0,0000179;
июль 2020;1 421;0,0000168;
август 2020;1 019;0,0000121;
сентябрь 2020;1 091;0,0000114;
октябрь 2020;1 652;0,0000153;
ноябрь 2020;1 929;0,0000168;
декабрь 2020;1 787;0,0000161;
январь 2021;1 526;0,0000146;
февраль 2021;1 371;0,0000137;
март 2021;1 341;0,0000123;
апрель 2021;1 639;0,0000152;
май 2021;1 236;0,0000119;
июнь 2021;960;0,0000096;
июль 2021;932;0,0000096;
август 2021;1 087;0,0000108;
сентябрь 2021;1 279;0,0000119;
октябрь 2021;1 512;0,0000132;
ноябрь 2021;1 212;0,0000104;
декабрь 2021;1 327;0,0000111;
январь 2022;1 207;0,0000101;
февраль 2022;1 283;0,0000108;
март 2022;1 479;0,0000116;
апрель 2022;1 350;0,0000112;
май 2022;1 289;0,0000108;
июнь 2022;1 024;0,0000095;
июль 2022;946;0,0000090;
август 2022;1 062;0,0000098;
сентябрь 2022;1 094;0,0000093;
октябрь 2022;1 778;0,0000143;
ноябрь 2022;1 408;0,0000111;
декабрь 2022;1 820;0,0000144;
январь 2023;1 691;0,0000137;
февраль 2023;1 639;0,0000143;
март 2023;1 871;0,0000150;
апрель 2023;1 931;0,0000167;
май 2023;1 585;0,0000140;
июнь 2023;1 490;0,0000145;
июль 2023;1 504;0,0000149;
август 2023;1 020;0,0000101;
сентябрь 2023;1 215;0,0000112;
октябрь 2023;1 552;0,0000130;
ноябрь 2023;1 372;0,0000116;
декабрь 2023;1 473;0,0000123;
январь 2024;1 687;0,0000139;
февраль 2024;1 509;0,0000134;
март 2024;1 038;0,0000090;
апрель 2024;927;0,0000085;
май 2024;1 069;0,0000100;
июнь 2024;640;0,0000068;
июль 2024;692;0,0000074;
август 2024;570;0,0000060;
сентябрь 2024;834;0,0000083;
октябрь 2024;1 290;0,0000114;
ноябрь 2024;1 143;0,0000098;
декабрь 2024;2 644;0,0000220;
январь 2025;1 185;0,0000099;
февраль 2025;964;0,0000084;
март 2025;1 157;0,0000096;
апрель 2025;1 116;0,0000097;
май 2025;1 042;0,0000097;
июнь 2025;748;0,0000070;
